	gene
DCAF4L2	DCAF4L2
SPANXN5	SPANXN5
ZFAT	ZFAT
TTC23L	TTC23L
NLGN2	NLGN2
CFAP161	CFAP161
SH3GL1	SH3GL1
FSCB	FSCB
ZNF724	ZNF724
REC8	REC8
LONRF1	LONRF1
FCN1	FCN1
ZNF48	ZNF48
TBXAS1	TBXAS1
SLAMF6	SLAMF6
TMEM14B	TMEM14B
CPXM2	CPXM2
UNC5B	UNC5B
NSMCE4A	NSMCE4A
CNGB1	CNGB1
OR5AN1	OR5AN1
CBLN4	CBLN4
NFATC3	NFATC3
KATNBL1	KATNBL1
FBLIM1	FBLIM1
IGSF21	IGSF21
SIRT1	SIRT1
KHSRP	KHSRP
ATG14	ATG14
PLAC8L1	PLAC8L1
TMEM170B	TMEM170B
MEGF10	MEGF10
GDPD1	GDPD1
PCDHA8	PCDHA8
ARHGEF1	ARHGEF1
SEC24C	SEC24C
ATOX1	ATOX1
H2BFS	H2BFS
RPL14	RPL14
KIAA0232	KIAA0232
TMEM86B	TMEM86B
IFIT3	IFIT3
DDX42	DDX42
NDST1	NDST1
MKKS	MKKS
ABCA10	ABCA10
GPR63	GPR63
NTRK1	NTRK1
PRRC2B	PRRC2B
SENP7	SENP7
PPP2R2A	PPP2R2A
RSAD2	RSAD2
MRPL10	MRPL10
C20orf203	C20orf203
POM121L2	POM121L2
GSTM5	GSTM5
SPINT1	SPINT1
LRCH2	LRCH2
ZNF592	ZNF592
CNTLN	CNTLN
SLX4IP	SLX4IP
UFSP1	UFSP1
RLF	RLF
MLLT6	MLLT6
WRNIP1	WRNIP1
FKBP4	FKBP4
LYPD6B	LYPD6B
CHRD	CHRD
IFIT1	IFIT1
FAM98A	FAM98A
SH3PXD2B	SH3PXD2B
SYNE3	SYNE3
TAS2R41	TAS2R41
CXCL10	CXCL10
CEP295	CEP295
PCDH1	PCDH1
KCNK10	KCNK10
ZNF878	ZNF878
ZNF691	ZNF691
GLG1	GLG1
FASTKD2	FASTKD2
HTN3	HTN3
ADRA1B	ADRA1B
SCYL1	SCYL1
GPX7	GPX7
KLF11	KLF11
CALML3	CALML3
LHX2	LHX2
IRX2	IRX2
TUBA3C	TUBA3C
TRAPPC9	TRAPPC9
WDR18	WDR18
EXOC5	EXOC5
SLC36A3	SLC36A3
CPNE7	CPNE7
OASL	OASL
MTRNR2L11	MTRNR2L11
RAB11FIP4	RAB11FIP4
SOCS2	SOCS2
CMTM2	CMTM2
NOD1	NOD1
FAM216A	FAM216A
ZNF146	ZNF146
NEUROG1	NEUROG1
SAT1	SAT1
ZNF207	ZNF207
ADPGK	ADPGK
HHIP	HHIP
FRK	FRK
AL096677.1	AL096677.1
MYBL1	MYBL1
HAMP	HAMP
THRB	THRB
FRAT1	FRAT1
SOWAHB	SOWAHB
ALDH6A1	ALDH6A1
SLC6A20	SLC6A20
DHX15	DHX15
TWF1	TWF1
POLB	POLB
HLA-DQB2	HLA-DQB2
ALPK3	ALPK3
HID1	HID1
HTR7	HTR7
ZNF182	ZNF182
IL2RA	IL2RA
TSPYL1	TSPYL1
MRPL32	MRPL32
N4BP2L2	N4BP2L2
MEGF8	MEGF8
ADORA3	ADORA3
TIGIT	TIGIT
OTUD7A	OTUD7A
L3MBTL3	L3MBTL3
MYO7A	MYO7A
ACSL6	ACSL6
OCLM	OCLM
AHCYL1	AHCYL1
IER3	IER3
ITGAD	ITGAD
FBN3	FBN3
SMCR8	SMCR8
HMOX1	HMOX1
MELTF	MELTF
MAMDC2	MAMDC2
LYL1	LYL1
MIOX	MIOX
CTR9	CTR9
HIGD1B	HIGD1B
CTXN2	CTXN2
SKI	SKI
CFAP61	CFAP61
IMP4	IMP4
PSMB7	PSMB7
PCDHB11	PCDHB11
GJB2	GJB2
COL16A1	COL16A1
ZNF285	ZNF285
AGBL4	AGBL4
RAET1L	RAET1L
CAPN11	CAPN11
PTAFR	PTAFR
PLA2G16	PLA2G16
CNTRL	CNTRL
VASP	VASP
TCEA3	TCEA3
GNG3	GNG3
HIST1H2BH	HIST1H2BH
ANKRD33	ANKRD33
TRIM55	TRIM55
COL20A1	COL20A1
ALKBH1	ALKBH1
PLA1A	PLA1A
TTC8	TTC8
CDC20	CDC20
ZFP62	ZFP62
ATP2B2	ATP2B2
DOC2A	DOC2A
GJC1	GJC1
GFRA1	GFRA1
ANKUB1	ANKUB1
SLC2A4RG	SLC2A4RG
ACSS2	ACSS2
MUCL3	MUCL3
NPTX1	NPTX1
DNAJC30	DNAJC30
PDCD11	PDCD11
CHSY3	CHSY3
RPL7L1	RPL7L1
SYNCRIP	SYNCRIP
IGFBP4	IGFBP4
ZNF16	ZNF16
DESI2	DESI2
RPGRIP1L	RPGRIP1L
B3GALT4	B3GALT4
WNT7B	WNT7B
WDR81	WDR81
TRPV2	TRPV2
SGO1	SGO1
TRAPPC12	TRAPPC12
PRKAA2	PRKAA2
KCTD17	KCTD17
NDST2	NDST2
DACH1	DACH1
RBM47	RBM47
HBS1L	HBS1L
GFPT1	GFPT1
CTXN1	CTXN1
ATAD1	ATAD1
SNF8	SNF8
AIFM1	AIFM1
BCO1	BCO1
ADAMTS15	ADAMTS15
LIFR	LIFR
HMGB1	HMGB1
MALSU1	MALSU1
MEF2A	MEF2A
TREH	TREH
ARHGAP4	ARHGAP4
KRT25	KRT25
RNF183	RNF183
CADM3	CADM3
UNC50	UNC50
KIAA1586	KIAA1586
SMIM10L1	SMIM10L1
NOXO1	NOXO1
SPTSSA	SPTSSA
SYNGAP1	SYNGAP1
C18orf21	C18orf21
CKS2	CKS2
LRIG2	LRIG2
POGLUT1	POGLUT1
LONP1	LONP1
PRKCG	PRKCG
UPP1	UPP1
PFDN4	PFDN4
SHISA5	SHISA5
VCP	VCP
CUL1	CUL1
LONRF3	LONRF3
MIDN	MIDN
GDF3	GDF3
TGIF1	TGIF1
P2RY11	P2RY11
CCDC184	CCDC184
ASMT	ASMT
UBOX5	UBOX5
SPDYE16	SPDYE16
TUT1	TUT1
CACNG8	CACNG8
BOLA2	BOLA2
ZNF678	ZNF678
AC007216.2	AC007216.2
DYDC1	DYDC1
NR0B2	NR0B2
ACAP2	ACAP2
APOBEC3H	APOBEC3H
DNAH8	DNAH8
MPI	MPI
CHID1	CHID1
CER1	CER1
ANXA1	ANXA1
SLC24A2	SLC24A2
NOTCH4	NOTCH4
SMIM15	SMIM15
ANO1	ANO1
ARID2	ARID2
SLC12A5	SLC12A5
CCDC85B	CCDC85B
DCAF4L1	DCAF4L1
RERG	RERG
KLC2	KLC2
VAV3	VAV3
UNC5C	UNC5C
IL7	IL7
CCDC42	CCDC42
HSD17B14	HSD17B14
WDR49	WDR49
KRT7	KRT7
FRMPD2	FRMPD2
CTSS	CTSS
SPINK6	SPINK6
AC026369.1	AC026369.1
MAST2	MAST2
C15orf48	C15orf48
AC068987.5	AC068987.5
ACP1	ACP1
ITCH	ITCH
CHRNE	CHRNE
TTC9B	TTC9B
ELF2	ELF2
FRMD5	FRMD5
KAZN	KAZN
PRELID3B	PRELID3B
WDR45	WDR45
MT1M	MT1M
BCKDK	BCKDK
KCNC1	KCNC1
USP2	USP2
KBTBD6	KBTBD6
TTC23	TTC23
FHDC1	FHDC1
GLUL	GLUL
OGFOD3	OGFOD3
HNF4G	HNF4G
LNP1	LNP1
UBQLN1	UBQLN1
MAP2	MAP2
SLC25A36	SLC25A36
PPIE	PPIE
SCGB1D2	SCGB1D2
EIF2AK3	EIF2AK3
RND1	RND1
TNFRSF17	TNFRSF17
MEX3A	MEX3A
FEZF1	FEZF1
SMARCA1	SMARCA1
ZNF416	ZNF416
ZNF419	ZNF419
INSIG2	INSIG2
TOM1	TOM1
ADCY9	ADCY9
STAMBPL1	STAMBPL1
PSD3	PSD3
DCK	DCK
FUT2	FUT2
TACC2	TACC2
C19orf73	C19orf73
SCRT2	SCRT2
PLEK	PLEK
ERICH5	ERICH5
OSBP2	OSBP2
ITGAV	ITGAV
LRRC9	LRRC9
MT1E	MT1E
DEPDC7	DEPDC7
ZNF70	ZNF70
SPATA45	SPATA45
NAALADL2	NAALADL2
OR5AS1	OR5AS1
SEMA4D	SEMA4D
COL11A2	COL11A2
SLC25A41	SLC25A41
WDR86	WDR86
NFASC	NFASC
TBC1D9	TBC1D9
NAMPT	NAMPT
ZNF557	ZNF557
RHO	RHO
PFKM	PFKM
ZNF772	ZNF772
MMEL1	MMEL1
RAX2	RAX2
COQ5	COQ5
ATP13A3	ATP13A3
ZSCAN5A	ZSCAN5A
DEFA1	DEFA1
DNAJC21	DNAJC21
ANKMY2	ANKMY2
EIF3J	EIF3J
EMB	EMB
WDR83OS	WDR83OS
ABRACL	ABRACL
SPOPL	SPOPL
PDZK1IP1	PDZK1IP1
ETV1	ETV1
P2RY6	P2RY6
RNF126	RNF126
MYOM2	MYOM2
TMEM87A	TMEM87A
GATAD2B	GATAD2B
PCGF1	PCGF1
HCN3	HCN3
SNX32	SNX32
BTRC	BTRC
TFDP1	TFDP1
ZNF275	ZNF275
NDRG4	NDRG4
YIPF4	YIPF4
ARMCX2	ARMCX2
DEDD2	DEDD2
ANXA6	ANXA6
CAMK2G	CAMK2G
GDF9	GDF9
SMIM33	SMIM33
SYK	SYK
CLHC1	CLHC1
B3GNT9	B3GNT9
TRPV3	TRPV3
UNC45A	UNC45A
ZNF747	ZNF747
RFX5	RFX5
RPAP1	RPAP1
PMAIP1	PMAIP1
MCRIP1	MCRIP1
SNRNP40	SNRNP40
FBXL4	FBXL4
SLC44A2	SLC44A2
TACR1	TACR1
SMIM10	SMIM10
GPATCH2	GPATCH2
ECHDC1	ECHDC1
GATD3B	GATD3B
CXCL14	CXCL14
FLI1	FLI1
FMNL1	FMNL1
FGF20	FGF20
PSD	PSD
ATPAF2	ATPAF2
RAB9A	RAB9A
EARS2	EARS2
FMR1	FMR1
DNAL1	DNAL1
DUSP26	DUSP26
CAP2	CAP2
SLITRK6	SLITRK6
SBK3	SBK3
FAM118B	FAM118B
AC004233.2	AC004233.2
CYP7A1	CYP7A1
PKD2L1	PKD2L1
TMEM234	TMEM234
SLC25A33	SLC25A33
ARMC10	ARMC10
DFFB	DFFB
GPBAR1	GPBAR1
BTBD9	BTBD9
TMEM248	TMEM248
PTPRF	PTPRF
NEUROD4	NEUROD4
TESK1	TESK1
DRG2	DRG2
SUZ12	SUZ12
ARL4A	ARL4A
KLRC3	KLRC3
TMEM247	TMEM247
TRMT11	TRMT11
RNF144A	RNF144A
XCL2	XCL2
PHACTR4	PHACTR4
ITPR1	ITPR1
LAMA2	LAMA2
GIT1	GIT1
GPBP1L1	GPBP1L1
ARHGEF10L	ARHGEF10L
MANF	MANF
NGEF	NGEF
LARP4	LARP4
PHACTR3	PHACTR3
C4A	C4A
SYT8	SYT8
PARP12	PARP12
GRID2	GRID2
SPC25	SPC25
DYNC1LI2	DYNC1LI2
TDRD5	TDRD5
SNAP23	SNAP23
PHIP	PHIP
ACER2	ACER2
SLC17A5	SLC17A5
SLC52A3	SLC52A3
SIGLECL1	SIGLECL1
SSX3	SSX3
EFNB1	EFNB1
PTCHD4	PTCHD4
ZNF750	ZNF750
DISC1	DISC1
POLR3D	POLR3D
STX2	STX2
KRT19	KRT19
ZNF853	ZNF853
TRA2B	TRA2B
TUSC1	TUSC1
CHMP2A	CHMP2A
RRP36	RRP36
TM4SF5	TM4SF5
FGF10	FGF10
METTL16	METTL16
PHC2	PHC2
SNRPG	SNRPG
ABCC12	ABCC12
GLDC	GLDC
CSRP2	CSRP2
MPEG1	MPEG1
MGAT2	MGAT2
DOCK11	DOCK11
DKC1	DKC1
ACAT2	ACAT2
BCL2L12	BCL2L12
PABPN1	PABPN1
SLC25A23	SLC25A23
CTNNA1	CTNNA1
AC009060.1	AC009060.1
IHH	IHH
RINT1	RINT1
SPATS2L	SPATS2L
ZMPSTE24	ZMPSTE24
URM1	URM1
TMEM94	TMEM94
MTCH1	MTCH1
SLC25A24	SLC25A24
GSC	GSC
CFAP97D1	CFAP97D1
TMEM176B	TMEM176B
TNS2	TNS2
KCNMA1	KCNMA1
EHBP1L1	EHBP1L1
IL27	IL27
USP11	USP11
ZRANB1	ZRANB1
ANKRD53	ANKRD53
FAM209A	FAM209A
ELL	ELL
TRMT13	TRMT13
PDHX	PDHX
DHX38	DHX38
UBE3A	UBE3A
ATP6V0E1	ATP6V0E1
AMMECR1L	AMMECR1L
SERPINB11	SERPINB11
BAAT	BAAT
CDK18	CDK18
CDKL1	CDKL1
ANGEL2	ANGEL2
PPP6C	PPP6C
ARHGAP12	ARHGAP12
SEMA4A	SEMA4A
INSC	INSC
HDGFL2	HDGFL2
KDM3A	KDM3A
G6PC3	G6PC3
RNASE4	RNASE4
PPIAL4A	PPIAL4A
KIF2A	KIF2A
SOWAHC	SOWAHC
GPATCH4	GPATCH4
TG	TG
HEATR6	HEATR6
CPA6	CPA6
FYCO1	FYCO1
RARRES2	RARRES2
PTN	PTN
RNF220	RNF220
TMEM95	TMEM95
ERAL1	ERAL1
NSMCE1	NSMCE1
ZNF133	ZNF133
SPSB1	SPSB1
NOMO3	NOMO3
EMX2	EMX2
PDAP1	PDAP1
POLR2G	POLR2G
LIAS	LIAS
PRKCQ	PRKCQ
GRIP1	GRIP1
SREBF1	SREBF1
PPP1R14C	PPP1R14C
S1PR2	S1PR2
TMEM52	TMEM52
PKNOX1	PKNOX1
DOK3	DOK3
AL035588.1	AL035588.1
RBL1	RBL1
LSR	LSR
KIAA0319	KIAA0319
ZNF675	ZNF675
TMEM39A	TMEM39A
RIMS3	RIMS3
ZNF91	ZNF91
FZD4	FZD4
SVIL	SVIL
SHCBP1L	SHCBP1L
TMEM35B	TMEM35B
EEF1D	EEF1D
LRRC63	LRRC63
ARSA	ARSA
TEK	TEK
BANK1	BANK1
IL21	IL21
ELAC2	ELAC2
RAB6B	RAB6B
KRBOX4	KRBOX4
MMS19	MMS19
TELO2	TELO2
SIN3A	SIN3A
ZNF474	ZNF474
NUP62	NUP62
ATN1	ATN1
AL354993.1	AL354993.1
EPHX1	EPHX1
KLHDC7B	KLHDC7B
UFD1	UFD1
ADD3	ADD3
HSF2BP	HSF2BP
CMTM8	CMTM8
B3GNT4	B3GNT4
MRPL50	MRPL50
CDH13	CDH13
HDAC10	HDAC10
STXBP3	STXBP3
INTS14	INTS14
CYP2C9	CYP2C9
HOXA9	HOXA9
SMIM24	SMIM24
CAMKV	CAMKV
KISS1	KISS1
FCRL5	FCRL5
HEXB	HEXB
SP140L	SP140L
ZNF34	ZNF34
NAALADL1	NAALADL1
NSUN5	NSUN5
RND2	RND2
LDHA	LDHA
NSMF	NSMF
PPA1	PPA1
IYD	IYD
SLC7A9	SLC7A9
LCA5L	LCA5L
DACH2	DACH2
FGL2	FGL2
FAM71D	FAM71D
SLAMF8	SLAMF8
OLAH	OLAH
NRAP	NRAP
WNK4	WNK4
FTL	FTL
PCDHGA6	PCDHGA6
LRP5L	LRP5L
MED25	MED25
SYBU	SYBU
ZNF492	ZNF492
MGAT4A	MGAT4A
EXOSC1	EXOSC1
DAP	DAP
USP28	USP28
FBXO22	FBXO22
FSD1L	FSD1L
MRGPRF	MRGPRF
ULK1	ULK1
CENPS	CENPS
SYF2	SYF2
DHRS1	DHRS1
OR52I2	OR52I2
SAMSN1	SAMSN1
LIN28B	LIN28B
TFEB	TFEB
NIPAL2	NIPAL2
EXPH5	EXPH5
ZNF117	ZNF117
CD52	CD52
TOR1B	TOR1B
MAP6	MAP6
HNRNPU	HNRNPU
SLC18B1	SLC18B1
ZNF184	ZNF184
UBXN6	UBXN6
DIS3L2	DIS3L2
PRSS51	PRSS51
C3orf84	C3orf84
MARVELD1	MARVELD1
CYP17A1	CYP17A1
SVOP	SVOP
BRSK1	BRSK1
SMARCA5	SMARCA5
MTNR1B	MTNR1B
C11orf94	C11orf94
KCNK16	KCNK16
C18orf32	C18orf32
CPSF4	CPSF4
DSCAML1	DSCAML1
ING1	ING1
MTX1	MTX1
SCAF11	SCAF11
ZBTB7C	ZBTB7C
UPK3A	UPK3A
TTLL13P	TTLL13P
MRLN	MRLN
GGT6	GGT6
GK	GK
ATP6V1A	ATP6V1A
CLCN5	CLCN5
ARFGEF1	ARFGEF1
ZP4	ZP4
ACSM3	ACSM3
PCDHGA2	PCDHGA2
CXCR1	CXCR1
GREM1	GREM1
IREB2	IREB2
MSANTD1	MSANTD1
ADGRF3	ADGRF3
EBNA1BP2	EBNA1BP2
ADAMTS1	ADAMTS1
SCGB2B2	SCGB2B2
ACP4	ACP4
LPAR4	LPAR4
ACSS1	ACSS1
CACNA1F	CACNA1F
SLC18A3	SLC18A3
GLT8D2	GLT8D2
SMIM3	SMIM3
EPHA3	EPHA3
CD40LG	CD40LG
CGGBP1	CGGBP1
PTPN23	PTPN23
PPP1R3B	PPP1R3B
ZMIZ2	ZMIZ2
OSGEP	OSGEP
ART3	ART3
SMIM12	SMIM12
NRN1L	NRN1L
SNAPC3	SNAPC3
DCP1B	DCP1B
IPO9	IPO9
PTPN1	PTPN1
NBEAL2	NBEAL2
TP53TG3D	TP53TG3D
ERICH6	ERICH6
CAPN1	CAPN1
ATP5F1D	ATP5F1D
ZNF208	ZNF208
TRIL	TRIL
INSM1	INSM1
SPOCK2	SPOCK2
LPCAT3	LPCAT3
PSD2	PSD2
SPTY2D1OS	SPTY2D1OS
PHLDA3	PHLDA3
KLF3	KLF3
SMIM8	SMIM8
PCDHA10	PCDHA10
TMEM50B	TMEM50B
COPA	COPA
FO681492.1	FO681492.1
SPC24	SPC24
GDI1	GDI1
TMTC3	TMTC3
MT-ND6	MT-ND6
SLC22A3	SLC22A3
GAD2	GAD2
MUC15	MUC15
C9orf64	C9orf64
SETD5	SETD5
BTBD18	BTBD18
ARMC5	ARMC5
TEPP	TEPP
CATSPER2	CATSPER2
SNED1	SNED1
PLEKHM1	PLEKHM1
NLRP8	NLRP8
ROPN1	ROPN1
CAVIN2	CAVIN2
SPART	SPART
PFAS	PFAS
OR8B12	OR8B12
GPR137	GPR137
MAP7D2	MAP7D2
IL17RC	IL17RC
BLCAP	BLCAP
FITM1	FITM1
SYNE1	SYNE1
GPRIN2	GPRIN2
ZSCAN4	ZSCAN4
ULK4	ULK4
C3orf33	C3orf33
RAB43	RAB43
COL27A1	COL27A1
METTL22	METTL22
SLC6A8	SLC6A8
CCDC66	CCDC66
UBE2N	UBE2N
ADGRE5	ADGRE5
NCAM1	NCAM1
TRIP4	TRIP4
GPR153	GPR153
SEC14L4	SEC14L4
POU2F3	POU2F3
CIB2	CIB2
ZFP90	ZFP90
CANT1	CANT1
HIST1H2BM	HIST1H2BM
RAB32	RAB32
CCS	CCS
SERF1B	SERF1B
GOLGA8M	GOLGA8M
PTGER4	PTGER4
MTSS1	MTSS1
FAIM	FAIM
ADGRD2	ADGRD2
PEBP1	PEBP1
CD3EAP	CD3EAP
DEXI	DEXI
SEZ6L	SEZ6L
BPIFA1	BPIFA1
NLRP6	NLRP6
SOX12	SOX12
FAS	FAS
TLR2	TLR2
RNF181	RNF181
AC008914.1	AC008914.1
GABPB1	GABPB1
PRDM8	PRDM8
NPTXR	NPTXR
DOCK3	DOCK3
GAN	GAN
GIN1	GIN1
JAM3	JAM3
AK1	AK1
VASH2	VASH2
C10orf53	C10orf53
MAIP1	MAIP1
SPAG5	SPAG5
C1orf146	C1orf146
TMUB1	TMUB1
CCNB1	CCNB1
BRAF	BRAF
F2RL1	F2RL1
APOL6	APOL6
DTHD1	DTHD1
HGD	HGD
ZHX2	ZHX2
EFCAB3	EFCAB3
MX2	MX2
CKAP2L	CKAP2L
SDHA	SDHA
CRB3	CRB3
IDI1	IDI1
IDO1	IDO1
ARHGDIG	ARHGDIG
ASPSCR1	ASPSCR1
LSMEM2	LSMEM2
COMTD1	COMTD1
JRK	JRK
PLPPR2	PLPPR2
IFT43	IFT43
IFI27	IFI27
PPP1R14B	PPP1R14B
EIF2S3B	EIF2S3B
FAM173A	FAM173A
FAM110C	FAM110C
FAM104A	FAM104A
STN1	STN1
MDGA1	MDGA1
NUTM2B	NUTM2B
ACSM2B	ACSM2B
FIGNL1	FIGNL1
P2RY2	P2RY2
SERPINB12	SERPINB12
COL6A2	COL6A2
IGLON5	IGLON5
NFIC	NFIC
MTMR7	MTMR7
LMNB2	LMNB2
MPP2	MPP2
RIOX1	RIOX1
CYP2S1	CYP2S1
HIST1H2BG	HIST1H2BG
TMED5	TMED5
H2BFM	H2BFM
SMLR1	SMLR1
EXOSC5	EXOSC5
ZNF780A	ZNF780A
KCNK2	KCNK2
HRASLS2	HRASLS2
FBXO3	FBXO3
ZNF101	ZNF101
RAD9A	RAD9A
ZNF215	ZNF215
ETV2	ETV2
SPDYC	SPDYC
MDM4	MDM4
FAM24B	FAM24B
PRR29	PRR29
PNMA3	PNMA3
CISD1	CISD1
BMP7	BMP7
HOXD8	HOXD8
C10orf90	C10orf90
PRR22	PRR22
PREP	PREP
IL22	IL22
PTCHD3	PTCHD3
WNT2	WNT2
SAP30L	SAP30L
UGT2B7	UGT2B7
SEMA4B	SEMA4B
MBOAT7	MBOAT7
GPATCH1	GPATCH1
RBBP5	RBBP5
CHRM5	CHRM5
SNTB2	SNTB2
SUN2	SUN2
SLC6A11	SLC6A11
NASP	NASP
CARS2	CARS2
SDHD	SDHD
SERINC2	SERINC2
MCCC2	MCCC2
GGT1	GGT1
PRDM12	PRDM12
POLR1C	POLR1C
SERF2	SERF2
MARCH2	MARCH2
GLRB	GLRB
TMEM9B	TMEM9B
CDS1	CDS1
GDAP1L1	GDAP1L1
KLF6	KLF6
PSG2	PSG2
PDGFA	PDGFA
ORMDL2	ORMDL2
AKNAD1	AKNAD1
NDUFA8	NDUFA8
SHISA8	SHISA8
PIAS3	PIAS3
ZDBF2	ZDBF2
MAPT	MAPT
SORCS3	SORCS3
CLDN2	CLDN2
CCL3L1	CCL3L1
SAMD12	SAMD12
APOL5	APOL5
ADCY5	ADCY5
MOB3A	MOB3A
CAND2	CAND2
FABP1	FABP1
CKMT1B	CKMT1B
MRPL19	MRPL19
DGKA	DGKA
STAU2	STAU2
GABARAPL1	GABARAPL1
OXCT2	OXCT2
LOXHD1	LOXHD1
NBR1	NBR1
SMIM4	SMIM4
ZNF343	ZNF343
RAPGEF6	RAPGEF6
MYO5B	MYO5B
MAML2	MAML2
DSG2	DSG2
IL3	IL3
CRIM1	CRIM1
PUF60	PUF60
AADAC	AADAC
AIFM2	AIFM2
LIMK1	LIMK1
TRMT44	TRMT44
GMFG	GMFG
OSGEPL1	OSGEPL1
SMARCAD1	SMARCAD1
MAFG	MAFG
MTERF1	MTERF1
LGALS4	LGALS4
BIN3	BIN3
ACTL10	ACTL10
NUDT7	NUDT7
SPESP1	SPESP1
FRS3	FRS3
C5orf63	C5orf63
BARX1	BARX1
DCST2	DCST2
SELENOW	SELENOW
GALK2	GALK2
PPARGC1B	PPARGC1B
PTPN11	PTPN11
MTHFSD	MTHFSD
KCNH2	KCNH2
TUFM	TUFM
C21orf58	C21orf58
TRIM39	TRIM39
GBE1	GBE1
HEY1	HEY1
ZSWIM7	ZSWIM7
GGTLC2	GGTLC2
UBL7	UBL7
MRPL9	MRPL9
ABLIM1	ABLIM1
FNBP4	FNBP4
CAPN8	CAPN8
NPHS1	NPHS1
LBR	LBR
URI1	URI1
POLL	POLL
RMND1	RMND1
CRACR2A	CRACR2A
LRRTM2	LRRTM2
MYO15B	MYO15B
MZB1	MZB1
TBXT	TBXT
RPL4	RPL4
C1QTNF4	C1QTNF4
MCM4	MCM4
DDX28	DDX28
FIBCD1	FIBCD1
SMARCAL1	SMARCAL1
SLFN13	SLFN13
CPLX4	CPLX4
API5	API5
IRGQ	IRGQ
IQCJ-SCHIP1	IQCJ-SCHIP1
FAM117B	FAM117B
GREB1L	GREB1L
FBLN1	FBLN1
NHLRC3	NHLRC3
NOX4	NOX4
ATP6V0A2	ATP6V0A2
SERAC1	SERAC1
CAND1	CAND1
SERTAD1	SERTAD1
C9orf85	C9orf85
SMAD1	SMAD1
HNRNPF	HNRNPF
PRR33	PRR33
GRID1	GRID1
CCT7	CCT7
WNT6	WNT6
ABHD6	ABHD6
LYPD1	LYPD1
ATF5	ATF5
PPP2R5A	PPP2R5A
TESPA1	TESPA1
EMP2	EMP2
CCDC168	CCDC168
TTL	TTL
OR8B8	OR8B8
OTX1	OTX1
LONP2	LONP2
STEAP1	STEAP1
NT5C2	NT5C2
HES7	HES7
TRIM72	TRIM72
HUNK	HUNK
SREK1	SREK1
GCNT2	GCNT2
SLC4A7	SLC4A7
CACNA1B	CACNA1B
ZC3H12B	ZC3H12B
DCAF12L2	DCAF12L2
ALPL	ALPL
PPM1N	PPM1N
THEM6	THEM6
RAB1B	RAB1B
E2F1	E2F1
RNASEH2A	RNASEH2A
ABL2	ABL2
TNPO1	TNPO1
DNAJA1	DNAJA1
C12orf54	C12orf54
ATP6V0D2	ATP6V0D2
UAP1L1	UAP1L1
KLRK1	KLRK1
RERGL	RERGL
TGM1	TGM1
ACADSB	ACADSB
AC079210.1	AC079210.1
CXorf58	CXorf58
SETMAR	SETMAR
KLHL30	KLHL30
PGM2	PGM2
PMFBP1	PMFBP1
COL4A3BP	COL4A3BP
RPS16	RPS16
RPS9	RPS9
WIPF1	WIPF1
KDM4D	KDM4D
CBLN1	CBLN1
FKBP6	FKBP6
DEFA5	DEFA5
VGLL3	VGLL3
LAMB1	LAMB1
TTC39C	TTC39C
EGR2	EGR2
FYB1	FYB1
HAPLN3	HAPLN3
SLC26A8	SLC26A8
TACO1	TACO1
RIBC2	RIBC2
RAD23A	RAD23A
C11orf54	C11orf54
SLC39A10	SLC39A10
PRKD1	PRKD1
SDR39U1	SDR39U1
TRPM7	TRPM7
RSPO3	RSPO3
RNF44	RNF44
ERVW-1	ERVW-1
ACTR3C	ACTR3C
NKAPD1	NKAPD1
TDP1	TDP1
CREG2	CREG2
ALS2CR12	ALS2CR12
ANXA5	ANXA5
TBX21	TBX21
DHX58	DHX58
FBXO27	FBXO27
VPS33B	VPS33B
PCF11	PCF11
CFAP58	CFAP58
PARP1	PARP1
MTMR2	MTMR2
MAP3K5	MAP3K5
DNAJC2	DNAJC2
BANF1	BANF1
ADGRF5	ADGRF5
SRD5A3	SRD5A3
SLCO2B1	SLCO2B1
CD27	CD27
POLR2C	POLR2C
LBHD1	LBHD1
MDH1	MDH1
PINK1	PINK1
MRPL34	MRPL34
DBNDD1	DBNDD1
HELLS	HELLS
TIMM44	TIMM44
NDUFC1	NDUFC1
ZNF410	ZNF410
SYT15	SYT15
PCDHGC3	PCDHGC3
EN2	EN2
TSGA10	TSGA10
NKTR	NKTR
ZNF777	ZNF777
FAM169B	FAM169B
TNNT1	TNNT1
RPLP2	RPLP2
TMEM208	TMEM208
TBL1X	TBL1X
LIPC	LIPC
GJA10	GJA10
FAM151A	FAM151A
ZC3H12A	ZC3H12A
MTMR9	MTMR9
LRP12	LRP12
OR2AT4	OR2AT4
TECPR2	TECPR2
EPHA2	EPHA2
PLPP7	PLPP7
MATR3	MATR3
CEP57	CEP57
DEGS1	DEGS1
ADAM17	ADAM17
PPP4C	PPP4C
TSNAXIP1	TSNAXIP1
TNFRSF8	TNFRSF8
GINS2	GINS2
PLSCR3	PLSCR3
SPATC1L	SPATC1L
GSTA2	GSTA2
RPAP3	RPAP3
WDR24	WDR24
RAB3C	RAB3C
ATG101	ATG101
HDDC2	HDDC2
TMEM100	TMEM100
ASPHD1	ASPHD1
ELFN2	ELFN2
CRYGC	CRYGC
SHANK3	SHANK3
PSMC5	PSMC5
GRHPR	GRHPR
EIF2AK2	EIF2AK2
RILPL1	RILPL1
XAGE3	XAGE3
EFCAB8	EFCAB8
APOA5	APOA5
PDE1C	PDE1C
SNAI3	SNAI3
NEU4	NEU4
