	gene
PAG1	PAG1
CHD5	CHD5
OR14J1	OR14J1
SLC16A10	SLC16A10
NOP10	NOP10
FASTK	FASTK
FOXR1	FOXR1
CDC7	CDC7
FBXW12	FBXW12
SLC41A1	SLC41A1
C11orf58	C11orf58
HERPUD1	HERPUD1
ZNF726	ZNF726
SAR1A	SAR1A
DUOX1	DUOX1
SV2C	SV2C
AC073569.1	AC073569.1
TEAD3	TEAD3
FZR1	FZR1
POLD1	POLD1
LSM1	LSM1
IMPAD1	IMPAD1
FOXD2	FOXD2
PIGM	PIGM
POLR2E	POLR2E
ATF7	ATF7
CASZ1	CASZ1
LRRIQ1	LRRIQ1
ZP2	ZP2
MYEOV	MYEOV
ADH1B	ADH1B
TST	TST
PPIAL4D	PPIAL4D
RPS19BP1	RPS19BP1
SIKE1	SIKE1
ZNF77	ZNF77
KCNQ4	KCNQ4
SNAPC1	SNAPC1
KRT85	KRT85
PKD1L1	PKD1L1
GPR3	GPR3
C9orf50	C9orf50
DPPA4	DPPA4
H3F3A	H3F3A
MYO9B	MYO9B
COG4	COG4
APCDD1	APCDD1
ZNF280C	ZNF280C
MPHOSPH10	MPHOSPH10
TSPAN13	TSPAN13
PUS7L	PUS7L
TRPM1	TRPM1
RNF135	RNF135
TUBA4A	TUBA4A
SPERT	SPERT
NDUFB10	NDUFB10
ATP6V0D1	ATP6V0D1
PYY	PYY
OGFOD2	OGFOD2
AL136454.1	AL136454.1
EPAS1	EPAS1
MANSC1	MANSC1
RANBP3L	RANBP3L
RNF144B	RNF144B
NAGPA	NAGPA
RSAD1	RSAD1
E2F5	E2F5
RNF180	RNF180
CD44	CD44
SH3BP5	SH3BP5
GRM6	GRM6
G2E3	G2E3
PLSCR5	PLSCR5
PNN	PNN
CTCF	CTCF
CEP85L	CEP85L
NLRP2B	NLRP2B
YWHAE	YWHAE
LIMD1	LIMD1
ECSIT	ECSIT
HTRA3	HTRA3
DYNLT3	DYNLT3
SPRR2D	SPRR2D
TRAF3IP3	TRAF3IP3
IL12B	IL12B
MAN1C1	MAN1C1
CWC22	CWC22
C2orf76	C2orf76
METTL8	METTL8
PRKAR1B	PRKAR1B
ZFYVE28	ZFYVE28
ZNF32	ZNF32
SRGAP1	SRGAP1
TVP23B	TVP23B
ATAT1	ATAT1
KLHL9	KLHL9
NELFA	NELFA
GAREM1	GAREM1
AFF3	AFF3
PRR16	PRR16
CNMD	CNMD
ERGIC2	ERGIC2
PRR5-ARHGAP8	PRR5-ARHGAP8
SRP72	SRP72
MYCT1	MYCT1
HSPA6	HSPA6
ECE2	ECE2
DIAPH1	DIAPH1
SNX31	SNX31
MUS81	MUS81
RBKS	RBKS
LGALS9C	LGALS9C
EP300	EP300
GALNT12	GALNT12
TSPO2	TSPO2
RNF212	RNF212
TMTC4	TMTC4
APOOL	APOOL
SLC5A11	SLC5A11
TM2D3	TM2D3
TARS2	TARS2
TMX4	TMX4
RPS18	RPS18
TCTEX1D1	TCTEX1D1
ZBTB26	ZBTB26
CNTNAP3	CNTNAP3
NUMA1	NUMA1
ARL15	ARL15
SYCP1	SYCP1
GYPA	GYPA
COQ8A	COQ8A
ATP5MF	ATP5MF
TMCO4	TMCO4
APOC2	APOC2
ERI3	ERI3
C20orf202	C20orf202
SATB1	SATB1
B3GNT8	B3GNT8
SCARA5	SCARA5
HOXA6	HOXA6
PDIK1L	PDIK1L
RPLP0	RPLP0
PRTG	PRTG
SUPT20H	SUPT20H
TMEM140	TMEM140
HBQ1	HBQ1
FSTL5	FSTL5
COL5A2	COL5A2
KRTAP20-4	KRTAP20-4
ST8SIA6	ST8SIA6
DCBLD1	DCBLD1
SLCO1C1	SLCO1C1
SCT	SCT
BPIFB4	BPIFB4
LETMD1	LETMD1
C8orf82	C8orf82
SPOUT1	SPOUT1
CLEC3A	CLEC3A
VDAC1	VDAC1
CILP	CILP
MAT2A	MAT2A
SMAD2	SMAD2
LUC7L	LUC7L
DGKE	DGKE
TMEM189-UBE2V1	TMEM189-UBE2V1
GPR32	GPR32
SACM1L	SACM1L
RBM19	RBM19
TCAP	TCAP
MGLL	MGLL
SPON1	SPON1
FAM181A	FAM181A
SP4	SP4
TSPAN8	TSPAN8
RCN2	RCN2
BEAN1	BEAN1
SLC6A12	SLC6A12
FMNL3	FMNL3
COMMD6	COMMD6
PSMD7	PSMD7
EXOC6B	EXOC6B
DNAJC25	DNAJC25
TCF20	TCF20
FATE1	FATE1
ERLIN1	ERLIN1
PYGM	PYGM
B4GALT6	B4GALT6
CYP27B1	CYP27B1
SLC9B1	SLC9B1
SGPP1	SGPP1
SFXN5	SFXN5
PRCC	PRCC
MAGEH1	MAGEH1
ROR2	ROR2
MSH3	MSH3
ARMC6	ARMC6
RETNLB	RETNLB
RAB29	RAB29
PARP2	PARP2
SP6	SP6
AL590714.1	AL590714.1
TIGD6	TIGD6
GNS	GNS
PER2	PER2
PTGDS	PTGDS
IL4I1	IL4I1
EGF	EGF
COQ10A	COQ10A
DNMT3A	DNMT3A
SULT1A2	SULT1A2
EYA4	EYA4
FAM98B	FAM98B
HMGCLL1	HMGCLL1
ATP1A4	ATP1A4
MSANTD3	MSANTD3
PCED1A	PCED1A
TOR2A	TOR2A
PROSER3	PROSER3
APOB	APOB
RSRC1	RSRC1
HEPN1	HEPN1
RPA2	RPA2
COQ4	COQ4
TOR1AIP1	TOR1AIP1
TLN1	TLN1
TEPSIN	TEPSIN
LHFPL6	LHFPL6
DDX54	DDX54
MZT2A	MZT2A
SLC12A7	SLC12A7
CD63	CD63
MMP11	MMP11
IRAK4	IRAK4
RC3H2	RC3H2
ACAN	ACAN
IQCE	IQCE
MAPK1IP1L	MAPK1IP1L
LOXL4	LOXL4
EML4	EML4
MPZ	MPZ
HYPK	HYPK
OR2A12	OR2A12
IQANK1	IQANK1
OR6C4	OR6C4
ATCAY	ATCAY
SLC28A3	SLC28A3
THBS2	THBS2
DCANP1	DCANP1
STX7	STX7
TEX2	TEX2
MFN2	MFN2
CTNND1	CTNND1
CLSTN2	CLSTN2
TNIP2	TNIP2
ULBP1	ULBP1
GOLGA1	GOLGA1
CLCN2	CLCN2
PLBD2	PLBD2
MTMR14	MTMR14
TCTE1	TCTE1
ZNF44	ZNF44
IFT57	IFT57
AP4E1	AP4E1
COL9A1	COL9A1
MEX3C	MEX3C
MOSPD1	MOSPD1
ZNF90	ZNF90
SLC41A3	SLC41A3
TPSG1	TPSG1
FAR2	FAR2
STAB2	STAB2
MLH1	MLH1
GPR89B	GPR89B
RHCG	RHCG
CD96	CD96
FAM162A	FAM162A
METRNL	METRNL
PLAG1	PLAG1
TAS2R31	TAS2R31
CBX8	CBX8
NAP1L5	NAP1L5
PCDH7	PCDH7
SRA1	SRA1
IRAK3	IRAK3
SHISA4	SHISA4
TOP3A	TOP3A
BAZ1A	BAZ1A
DNAJC4	DNAJC4
RSF1	RSF1
FARSA	FARSA
SLC39A4	SLC39A4
CHST11	CHST11
FTSJ1	FTSJ1
ACKR2	ACKR2
TFF3	TFF3
USP46	USP46
C3orf67	C3orf67
TDO2	TDO2
NAXD	NAXD
COP1	COP1
LOR	LOR
PTGFR	PTGFR
OXR1	OXR1
RBM28	RBM28
CSNK2A2	CSNK2A2
AL356215.1	AL356215.1
CHMP6	CHMP6
ZRANB3	ZRANB3
STK32C	STK32C
NDUFS4	NDUFS4
GABRR2	GABRR2
GRAP	GRAP
MRPL49	MRPL49
CABLES2	CABLES2
SPATA8	SPATA8
SAA4	SAA4
SARS	SARS
AQP9	AQP9
DMRT3	DMRT3
GEM	GEM
NBEAL1	NBEAL1
NMD3	NMD3
RNASEH1	RNASEH1
ZAN	ZAN
ZNF385D	ZNF385D
PCGF6	PCGF6
AC114490.3	AC114490.3
UNC80	UNC80
TUBB4A	TUBB4A
HSF5	HSF5
EDEM1	EDEM1
CSH1	CSH1
RCHY1	RCHY1
KRTAP5-11	KRTAP5-11
PLXNB3	PLXNB3
CCT3	CCT3
CEACAM16	CEACAM16
AC009163.4	AC009163.4
AP3S1	AP3S1
FAM19A5	FAM19A5
KCNK15	KCNK15
ALDOB	ALDOB
ACMSD	ACMSD
CFAP53	CFAP53
MGST1	MGST1
TRIP10	TRIP10
MASP1	MASP1
TMEM221	TMEM221
POFUT2	POFUT2
DTX3	DTX3
C11orf68	C11orf68
ZBTB40	ZBTB40
JSRP1	JSRP1
IKBIP	IKBIP
PSPN	PSPN
PABPC1	PABPC1
HUS1B	HUS1B
CENPBD1	CENPBD1
TEX14	TEX14
ARV1	ARV1
CALD1	CALD1
SPSB3	SPSB3
FOXP1	FOXP1
