	variance
TSC22D3	5.9186883
ANXA2	5.8524213
RPL27A	5.795314
TNNC1	5.7678833
ELF3	5.737785
PNLIPRP1	5.6899
HLA-E	5.65775
CEBPB	5.654611
IFI27	5.5962377
CD63	5.5856605
EEF1B2	5.4951873
THBS4	5.478534
RGS5	5.4273663
CPA3	5.349603
TUBB1	5.284251
PRB2	5.2394795
ADH1B	5.21365
RPS10	5.1780643
IER3	5.1395645
MMP1	5.0543404
RARRES1	5.0217304
KRT6C	5.002541
SERPING1	4.96759
RPL23	4.9360747
TACSTD2	4.904613
PNLIPRP2	4.8801503
FBLN1	4.8511677
EGR1	4.8467727
CD69	4.8147902
CAPS	4.8000183
IL1R2	4.785702
TAGLN2	4.773669
C1QB	4.7619047
RPL38	4.742176
RPL35	4.7081656
KLF6	4.5823984
RPS20	4.5710382
HSP90AB1	4.540955
MT-ND4L	4.5209637
CELA2B	4.488134
SPRR2A	4.4582443
LGALS3	4.4473634
SERPINE2	4.366719
FCER1G	4.3506594
AKR1C1	4.3412743
FOSB	4.3253455
APOB	4.3116508
HLA-C	4.3080783
CXCL3	4.271697
GOLM1	4.1915293
CYBA	4.1610465
AMBP	4.130025
TPM4	4.1088014
MYOC	4.0256166
TYROBP	4.018952
CYB5A	3.9761705
C1QA	3.9667268
COL6A2	3.9610505
SERPINB3	3.9418297
CALM1	3.9320252
FLNA	3.814018
CTSS	3.7836504
DDIT4	3.7553916
REG1B	3.7494268
CCL17	3.733538
CLCA1	3.7062461
CAVIN2	3.7043078
LMNA	3.7009006
NKG7	3.6556263
SOX4	3.6531188
LY6D	3.6220253
SLC25A37	3.565031
MYL12A	3.536857
MNDA	3.528234
HIST1H4C	3.5166085
KRT5	3.4823196
SSR4	3.4681122
OST4	3.46559
KLF2	3.4360194
CSF3R	3.361827
ID3	3.3220048
PTPRC	3.3168378
GNG11	3.2984638
MZB1	3.267732
BPIFA1	3.202061
PSCA	3.2011576
FABP1	3.1643813
PCSK1N	3.150407
TNFAIP3	3.0948107
CA1	3.019528
PNRC1	3.009026
ZFP36L1	3.0089471
RGS18	2.9879138
CLDN3	2.9726298
UBB	2.9721065
PYY	2.9636803
C1R	2.9599974
NEFH	2.9253297
CFL1	2.896202
PDK4	2.8859766
SERF2	2.8753963
SCGB2A1	2.8521712
ATP5MC3	2.8422968
ATP5F1E	2.8204954
ATF3	2.7825632
COL6A3	2.7577994
UBA52	2.7566519
CXCL2	2.7401397
HOPX	2.7396698
SCG5	2.7240465
CCDC80	2.7208698
SARAF	2.7203414
KRT17	2.713003
TUBB4B	2.705887
YWHAH	2.69222
SPRR1B	2.6893194
MT1E	2.6861436
RPL27	2.6854944
ARHGDIB	2.6810865
NDUFA4	2.6756313
NPC2	2.669603
MGST1	2.6664696
DYNLL1	2.658494
CCL2	2.6444387
CAV1	2.6364825
PRSS3	2.6016736
BTG2	2.600004
SLC4A4	2.5957284
COX7C	2.5956602
TM4SF1	2.5840807
MIF	2.55151
MYH6	2.5462286
PRDX5	2.5438583
HSPA1B	2.5355422
MFAP5	2.5326564
CHGA	2.5201867
NAP1L1	2.491399
PPIB	2.4786322
RGS2	2.4601219
PTGDS	2.4371493
APOC1	2.4260178
GPX4	2.425862
CSRP1	2.4209275
GCA	2.3893507
XBP1	2.3591273
TF	2.3517263
PRKAR2B	2.3464386
NPM1	2.3320909
RPL31	2.3218575
SERPINF1	2.3053713
MUC7	2.3022056
RARRES2	2.2953887
KRT6B	2.2939
OLFM4	2.2919366
RPL7	2.2841837
LTF	2.283674
C7	2.2649696
LDHA	2.254412
HLA-DPA1	2.242749
LIMS1	2.2420359
VCAN	2.1778114
BASP1	2.1671805
ALOX5AP	2.16599
TMEM190	2.1562986
RPL4	2.1534884
GP9	2.1512487
RHOB	2.1492991
NNMT	2.1472418
RAP1B	2.1244822
GADD45A	2.115536
TSPO	2.1132932
PEBP1	2.1079426
DNAJB1	2.1068914
S100A16	2.1008668
RPL22	2.0625923
DHRS2	2.0568964
EEF2	2.047447
CD81	2.0441577
IGLL5	2.0439951
IER2	2.0425143
PRDX1	2.041393
ANXA5	2.0351102
SEC11C	2.0346875
HMGB1	2.032105
TSC22D1	2.0251403
YBX1	2.0182793
BPIFA2	2.0173652
RGS10	2.013814
SH2D6	2.001248
C1S	2.000477
YBX3	1.9914151
CNN1	1.985759
MYLK	1.9633368
PPIA	1.953527
APOA2	1.9522678
SUB1	1.940951
HIST1H2AC	1.9400355
SPARC	1.9382473
ATP1A1	1.9287231
S100B	1.915619
MT1A	1.9070234
LCP1	1.9059119
PPDPF	1.9030275
CRNN	1.8983227
BIRC3	1.8957782
LYPD3	1.8919078
DBI	1.8830522
FCGBP	1.8704239
CD59	1.8665205
RBP4	1.8522687
DSC2	1.8517758
CD44	1.8465902
COL1A2	1.842234
CTSD	1.8327774
ITM2A	1.8292292
CPE	1.8271036
PRELP	1.8257458
IL1RN	1.8039334
TGM4	1.7898384
MFGE8	1.7873663
DDX5	1.7870773
CYP2E1	1.779755
TUBA1B	1.7779564
RDH11	1.7741469
PSAP	1.7665141
ADAMTS1	1.7542577
RIPOR2	1.7533691
ID1	1.7456065
HNRNPA1	1.7258923
BTF3	1.7250412
EPCAM	1.7113094
CCL5	1.7087395
STEAP4	1.7014793
TUBA1A	1.6979058
FYB1	1.6973902
AKR1B10	1.6909297
ITGB1	1.6839595
PMP22	1.6697345
EMP1	1.6585823
AHNAK	1.6519356
CTSB	1.6514407
LIPF	1.6500623
AQP3	1.6314225
COMP	1.623893
LITAF	1.622138
PDZK1IP1	1.6209722
HBD	1.619924
LDHB	1.6193879
LAPTM5	1.6086745
PPP1R14A	1.6065867
MMP2	1.5954226
DEFA3	1.59131
CALM2	1.5907028
SELENOW	1.5872781
GLUL	1.5658712
BCL2A1	1.5590882
COTL1	1.5518833
PCK1	1.5518517
FPR1	1.5377995
HSPA5	1.5360187
ATP1B1	1.5350498
MT1G	1.5313231
AIF1	1.5259123
ATP6V0B	1.5208541
SRP14	1.5156642
SERPINE1	1.5143567
ITGA2B	1.5105793
GATM	1.5073372
PFDN5	1.5015713
PABPC1	1.5000639
CXCL17	1.491464
AFP	1.4742222
AC011462.1	1.4678835
DUSP2	1.4647819
PPP1R15A	1.4525018
MMP7	1.4523321
RPL36AL	1.4361842
PLEK	1.4333391
S100A7	1.4263719
HLA-DPB1	1.4262434
HINT1	1.4258447
KLK1	1.422758
TSPAN1	1.4215845
CCL3	1.421182
COX4I1	1.4138689
LPP	1.4027077
TM4SF4	1.3967173
EEF1D	1.3960468
NDFIP1	1.390368
SMAP2	1.3895985
TUBA4A	1.384593
IGF1	1.378625
COX5B	1.3714828
ASCL3	1.3688662
PLIN2	1.364692
IGFBP2	1.3645244
ORM2	1.3619975
A2M	1.355042
IL1B	1.3483249
ENO1	1.33295
CD3E	1.3304235
BGN	1.3242939
KRT1	1.3233708
COL6A1	1.3164853
SELENOM	1.3105817
CTSL	1.3054602
TSPAN8	1.3048948
CKB	1.2994548
MUC1	1.2961321
SOCS3	1.2904216
LRMP	1.2831112
GDF15	1.2822542
CILP	1.2810137
CFTR	1.2785118
TPI1	1.268582
TCEAL4	1.2659355
CD55	1.2420819
COX7B	1.2385699
FCGR3B	1.219189
HSPA8	1.2137417
SELENOP	1.2124662
MT1M	1.2097274
EMP3	1.2059608
KRT15	1.2037362
C11orf54	1.203597
DST	1.2032838
ALAS2	1.1957848
CLIC1	1.1929336
PTGR1	1.191209
HES1	1.1867481
IL6	1.185721
MT-ATP8	1.1812701
DMBT1	1.174084
MYL12B	1.1712918
TPM3	1.1682029
CD3D	1.162468
F13A1	1.1621852
CST7	1.1592392
NR4A1	1.1526163
ARPC1B	1.1500242
MAP1B	1.1494615
HPGD	1.1462127
IGFBP4	1.133563
RGS1	1.1311463
CTSH	1.1308756
CNFN	1.1187724
ID2	1.1187218
PKM	1.1079221
CYSTM1	1.1077013
CD83	1.1047095
FKBP5	1.1007265
UQCRH	1.0989194
MDK	1.0929658
VCL	1.0898869
ANKRD36C	1.0839701
COX6C	1.0800117
CD163	1.0689553
DEFA5	1.0660394
CHCHD10	1.0394168
MAL	1.036165
CMTM5	1.0337007
EZR	1.0225189
SFTA2	1.0176364
LAPTM4A	1.0148531
SLURP1	1.012184
FGL1	1.0120295
EMP2	1.0112864
HPGDS	1.006106
TRPM5	1.0024041
C20orf85	1.0000187
CD52	0.9973917
ACRBP	0.99648243
TOMM7	0.97912306
SLC34A2	0.9777211
SQSTM1	0.966592
SPRR2E	0.964917
SDCBP	0.9636713
THBS1	0.96208924
MLN	0.95532393
ARPC3	0.9483621
TREML1	0.9470163
ATP5ME	0.94343376
CORO1A	0.9419825
ALDH1A1	0.9389498
ARPC2	0.9343226
HNRNPA2B1	0.9294267
GBP6	0.92643255
GMFG	0.9257804
NKX3-1	0.9247288
CALM3	0.923356
CD37	0.9193117
C15orf48	0.91414547
CALR	0.9110591
SLC25A5	0.9079843
RUFY1	0.9059194
CRP	0.90215224
PLPP3	0.8949308
RPL36A	0.8936766
ATP5MD	0.8929259
ITPR2	0.8893352
NFKBIZ	0.8888272
CXCL14	0.88826174
COL3A1	0.8848516
PCP4	0.8844578
FGL2	0.88410014
UQCRB	0.88391846
FERMT3	0.87176335
SAMSN1	0.87125874
TNC	0.86566585
CFH	0.85947835
SERPINB1	0.8586408
PLAUR	0.855501
C9orf24	0.8514652
JAK1	0.85124695
APOH	0.8510206
ATP5IF1	0.84957767
PTMS	0.8489617
ATP5PF	0.8407682
KRT76	0.8380076
CCNI	0.8341091
PTCRA	0.8316171
ACSL1	0.82413596
TPPP3	0.81869346
COX6B1	0.8137388
BEX3	0.8083232
GPRC5A	0.80454946
OGN	0.8039438
RAB11FIP1	0.80363846
MARCKS	0.8031795
STMN1	0.80214846
SPINT2	0.7968952
ARPC5	0.79208046
FSTL1	0.7906538
VMP1	0.790203
MCL1	0.78891575
PRDX2	0.7732781
AMY2B	0.7710979
CHGB	0.77049625
TALDO1	0.7704135
BRI3	0.76603013
HERPUD1	0.765456
UQCR10	0.7636186
NDUFS5	0.75901884
IL32	0.7586229
CD36	0.753373
LPL	0.75159204
SLC2A3	0.74736595
LUM	0.7468402
TAT	0.7412799
SLC25A3	0.7390826
GIP	0.73646593
PRR4	0.73151916
KIF2A	0.73136735
YWHAZ	0.72779876
CDKN1A	0.7243746
RGCC	0.72318435
NUCB2	0.7223528
CHCHD2	0.714859
ATP5F1B	0.7139586
FGFBP1	0.71276623
AQP1	0.709927
ZEB2	0.7097339
FXYD2	0.7094025
DHRS7	0.7092522
MUC2	0.7078252
HSPE1	0.70062906
TUBB	0.6997804
CDH19	0.69898194
MYH9	0.69892555
NR2F2	0.69796705
PALLD	0.6959574
NEXN	0.694563
CAVIN1	0.6942557
GSTO1	0.69390875
POSTN	0.6930959
NDUFA4L2	0.68926084
GYPC	0.68921435
FHL1	0.68693876
MPP1	0.6844644
COL4A1	0.68146515
PITX1	0.68092024
CCND3	0.6804337
CCL20	0.67995185
PDLIM1	0.6788186
C12orf57	0.6781768
SORL1	0.6780334
H2AFZ	0.6778943
IL1RL1	0.6750883
NCL	0.67461056
MYL3	0.67372525
CYP3A5	0.67090666
ARHGAP18	0.66979307
HSPD1	0.6675991
PRTN3	0.6673191
SYNE2	0.6664215
SGK1	0.6661235
ATP5MC2	0.66538024
SNCG	0.6650906
CAP1	0.66141677
LST1	0.65921056
ARL4C	0.65908355
PRDX6	0.65304804
ACTN1	0.6516927
SPTBN1	0.65159136
CP	0.6469357
PMAIP1	0.64514697
NUPR1	0.6409848
GRN	0.63175035
RHOA	0.6316247
KLRD1	0.62775344
COL1A1	0.6269766
APLP2	0.6267787
UQCRQ	0.62670225
SFTPD	0.62555736
CYP4F8	0.62528014
SOD3	0.62384474
CD151	0.62128663
PLN	0.6208515
CELF2	0.6205336
RGS13	0.6193642
AHSP	0.6157779
MS4A2	0.61113346
CALML3	0.60944474
DCT	0.60932946
RAC2	0.60886794
PRSS23	0.60458714
CLDN5	0.60332066
FBN1	0.60040694
P4HB	0.59983295
LAMTOR1	0.59723645
IFITM1	0.5950868
HMGN3	0.5926681
MEDAG	0.5907372
VWF	0.5898133
SPI1	0.5837314
MTPN	0.58272815
DUSP4	0.5786538
EID1	0.5760145
ATP5MG	0.57457644
EFEMP1	0.57188714
C1QC	0.56317765
LGALS7	0.5627715
GNAI2	0.56022584
CFLAR	0.55978733
DNAJA1	0.5573745
AGT	0.5542758
SEPT7	0.55420315
ATP5F1D	0.55367684
KIT	0.55153424
MARCKSL1	0.54972506
ATP5MPL	0.54812205
CDC42EP3	0.5465251
AQP5	0.5455783
SEC61B	0.5432924
AEBP1	0.5426451
GZMB	0.54262
CPS1	0.54251987
ASAH1	0.5409966
PHLDA2	0.5396837
IVL	0.5396553
COX8A	0.5373527
TIMP2	0.5343639
LSP1	0.5320544
GAST	0.53202397
HCST	0.53143185
THBS2	0.5309905
RTN4	0.5309448
CRCT1	0.5300487
CLDN7	0.5297822
RPS4Y1	0.52889526
MMP9	0.52678907
FXYD5	0.5238353
MGST3	0.5232936
RSPH1	0.52328044
IQGAP1	0.52188903
CITED4	0.52159756
PRR27	0.5213858
HMGB2	0.5204876
COX7A2	0.5153187
KRT3	0.51516736
PLCG2	0.51511574
ITGB2	0.5150633
COX5A	0.5122007
CCL28	0.5117873
CIRBP	0.5103681
FCN1	0.51032627
ISG20	0.50760084
GZMA	0.5043404
GC	0.499867
UPK3B	0.49901944
EVI2B	0.49725688
ID4	0.4956776
STOM	0.49533594
ANP32B	0.49491143
VAMP8	0.49486336
TCF4	0.49250078
FAM129A	0.49160326
DSG3	0.49015617
SNCA	0.4900073
VTN	0.48742935
MPIG6B	0.4868891
PRF1	0.4865704
C12orf75	0.48210505
ATP5MC1	0.4791661
ETS1	0.47573227
VNN2	0.47460344
COX6A1	0.4741217
TMEM40	0.47070107
NUCKS1	0.46983862
GSTA1	0.46954846
PLP1	0.46895596
NPY	0.46699753
AP002956.1	0.46675563
LAMP3	0.46627897
NDRG2	0.46576282
EPAS1	0.46503246
NDRG1	0.46459305
YWHAE	0.46435034
PLPP1	0.46377516
AKAP9	0.4627186
PIK3R1	0.45863417
AGR3	0.45636415
RPL17	0.4545204
IGHD	0.45445922
PTGS2	0.4527936
FKBP11	0.45125225
MXD1	0.45122844
TMEM59	0.44985119
PLAC9	0.4493935
INSL5	0.44831634
GPNMB	0.44813228
TYRP1	0.4478669
ANKRD1	0.4448396
RNF149	0.44301945
CAPG	0.44263664
FOLR1	0.4426237
MYC	0.44184688
CD177	0.43996653
GPR183	0.43907627
SRSF5	0.43541095
TMBIM6	0.43490607
RAN	0.4319244
H2AFJ	0.43179786
TFPI	0.43162844
MSN	0.4312391
CTSZ	0.43105805
PDGFRB	0.4302291
PCBP2	0.42964226
LRP1	0.42850298
STEAP2	0.42693737
POLR2L	0.42656574
PDIA6	0.42436504
TUBA1C	0.42427152
SELL	0.42329344
COL4A2	0.4222167
NOP53	0.4213412
NPPB	0.42109314
IL6ST	0.42033198
H1FX	0.41991547
CYP4B1	0.4197772
KLF5	0.41811395
DAB2	0.41805944
TRIM29	0.41684118
MBNL1	0.4166627
APP	0.416658
JUP	0.41645086
CEACAM6	0.41428393
SCNN1B	0.41421673
ZFAND5	0.41388923
ALDH3A1	0.41372496
MSLN	0.41282105
KTN1	0.41262805
S100A13	0.41166696
KLF9	0.41160926
NDUFB2	0.41115454
CYCS	0.4107476
PSTPIP2	0.41020578
SMCHD1	0.40993428
HNRNPU	0.40977517
TMA7	0.40848783
AQP9	0.4074625
RAC1	0.40727168
FXYD3	0.4071301
ACTR2	0.40648222
CTSA	0.40638456
GATA2	0.4049892
S100A1	0.4048561
MMD	0.40411806
MTURN	0.40322804
ZYX	0.40161985
SET	0.40012905
AMD1	0.39997298
SLC11A1	0.39936858
CIB1	0.39824277
LMOD1	0.3971561
PTN	0.39671567
ETS2	0.3965723
PMEPA1	0.3964714
ELF1	0.39580914
TGFBR2	0.39557454
TCN1	0.39541352
SYNPO2	0.39499968
AMY2A	0.3946924
AKAP12	0.3931977
ATP5F1A	0.39297342
CCL22	0.3912858
HBM	0.38860068
DDX17	0.38834187
MS4A6A	0.38743973
RPS27L	0.38737658
SFRP2	0.38709447
CD3G	0.38690943
EDNRB	0.38660085
ECHS1	0.38628894
CD7	0.38539872
GPX2	0.3853215
TCIM	0.3852784
RASD1	0.38346094
EHF	0.38314843
CAST	0.38280496
CD14	0.3797394
RAMP2	0.37973848
CD79A	0.37966585
REG3A	0.37923086
SRSF7	0.37728125
HPX	0.3759137
STK4	0.3731298
CRISPLD2	0.3728973
FCGR2A	0.37206405
ARGLU1	0.37163323
MDH1	0.3709717
SOCS1	0.3707084
PTGES	0.3705253
MS4A7	0.36983925
SLC25A4	0.3689406
RBM3	0.36883277
CCR7	0.36865285
LRRFIP1	0.3676102
GAS7	0.3674655
C5AR1	0.36441588
HSPH1	0.3636327
STAP1	0.36165032
SEMA3C	0.36055437
NFIB	0.35940078
NT5C3A	0.3580331
CYTIP	0.3563073
MPO	0.35630476
RAB32	0.35630235
ATP5MF	0.3554626
RHEX	0.3553233
SOD1	0.35462222
ATP5F1C	0.3540356
ARID5B	0.3539882
YPEL3	0.35363582
AKAP13	0.35201696
GPSM3	0.35162497
CLDN10	0.3513577
PGRMC1	0.35126624
REL	0.350635
TKT	0.34972337
STXBP2	0.34960055
SKP1	0.34868902
IKZF1	0.34703928
ITM2C	0.34676692
ZNF331	0.3454146
F3	0.34470132
QPCT	0.34360728
PMEL	0.34321293
ADAMTS4	0.3428162
RRBP1	0.34204072
CDKN2D	0.34038228
SUCLG1	0.3397627
MYDGF	0.3388741
SERP1	0.33845747
PLVAP	0.33842942
C2orf88	0.33805352
ATP6V1G1	0.33641455
EFHD2	0.3358892
LRRK2	0.33539212
KLF4	0.33515644
KRT36	0.3346883
CLC	0.3342891
TACC1	0.33260113
TXNDC5	0.33257085
QKI	0.3308679
ELOB	0.32843778
PAEP	0.32838613
MS4A1	0.32698774
GEM	0.3268212
HMGN1	0.32624766
CSRP3	0.32560956
PARK7	0.32556129
EIF2AK1	0.32540008
VSIR	0.3249827
CTSC	0.32494977
CD53	0.3243372
CCND1	0.32427436
SEC61G	0.3239112
PLEKHO1	0.32383358
TLE4	0.32337466
SCGB2A2	0.32336265
NR4A2	0.32305694
NID1	0.32141095
SPRY1	0.32127035
HIST1H1E	0.32024238
HMGN2	0.32011375
CXCL6	0.31994584
LY6E	0.31950116
CTSG	0.31927738
SUMO2	0.31887403
SON	0.31873265
RND3	0.31866214
SSR3	0.31684184
RBM39	0.31627208
PSMA7	0.31566864
SRRM2	0.31464133
TMEM61	0.31403413
ERO1B	0.31387886
HIST1H1C	0.31358805
STK17B	0.31335258
CCNL1	0.31225842
DSG1	0.3121744
UBL5	0.3121428
MARCH2	0.31167144
SPCS2	0.3109672
DNAAF1	0.31070793
BNIP3L	0.30989075
SELENOK	0.30944458
GHRL	0.30737835
EIF3E	0.306963
CA2	0.30630338
ITGA5	0.30616802
RNASET2	0.30583116
ATP6V0E1	0.3051774
PKP1	0.30500266
UGT2B17	0.30466655
ANP32A	0.30426416
MLANA	0.30379358
TFCP2L1	0.3036224
ATP6V1F	0.30333546
C19orf33	0.3020915
NDUFS6	0.30179256
A2ML1	0.3012066
CES2	0.30083883
SERPINA5	0.2998542
MT-ND6	0.299178
AKR1C3	0.29914036
PHPT1	0.29902396
PCBP1	0.29801226
RDX	0.29781678
EIF3K	0.2978156
FBLN2	0.29743305
RAMP1	0.29697096
HCLS1	0.29561028
RASSF4	0.2955899
TOB1	0.2947277
BLVRB	0.29468518
LEF1	0.29455954
MTDH	0.2944456
HTRA1	0.294025
CD48	0.2936169
COMMD6	0.2931214
CLIC3	0.29299253
LAMA2	0.29285085
PTGIS	0.29252753
FBXO32	0.2922065
TMEM258	0.2917387
CDC42	0.29094514
CETN2	0.2901188
PGK1	0.28997153
FSCN1	0.28892142
UQCR11	0.28825325
GOLGB1	0.2873485
FAM107B	0.28709418
ACTA1	0.28709173
FCGRT	0.28679165
RPS17	0.28645954
KRT10	0.28614217
MYO1F	0.28555757
CREM	0.28398556
CXCR2	0.28391662
LUC7L3	0.2827926
IRF1	0.281886
NFE2L2	0.28161496
ECHDC2	0.28084737
MORN2	0.28077632
GUK1	0.2806713
HLA-DRB1	0.280551
ELANE	0.2799523
C9orf16	0.2794693
ARL6IP5	0.27935618
SLC12A2	0.27917466
SMIM22	0.27904552
YWHAB	0.2786185
BIN2	0.2785878
FILIP1L	0.27678508
PDIA3	0.2751101
SH3YL1	0.27501702
EREG	0.2749231
IRAK3	0.2739565
PNISR	0.2739001
MUC16	0.27314064
NDUFB1	0.2724792
SLC3A2	0.27241206
NCOA7	0.27220035
TTC3	0.2716397
TNFRSF12A	0.2708734
DCXR	0.27055782
SLC25A39	0.27010038
ALPL	0.2697271
DYNLT1	0.26903284
TNFAIP2	0.2690149
HSPB7	0.26897675
VWA5A	0.268629
ILK	0.268069
DDX21	0.26792952
SST	0.2670779
TYMP	0.2670044
C4orf3	0.26632997
SERBP1	0.26531827
LAD1	0.26506495
H2AFY	0.26493424
FUS	0.2648535
TFF1	0.26385018
SERPINB13	0.26259452
C1orf162	0.2616496
ACTN4	0.2606052
IGKV2D-29	0.26050216
NCF2	0.2602474
SORBS2	0.26001927
PTGS1	0.25989565
SBDS	0.2598693
MORF4L1	0.2596618
