	tsp_mRNA
PDX1	PDX1
ITPRIPL2	ITPRIPL2
TAF1L	TAF1L
HARBI1	HARBI1
USP17L18	USP17L18
RIPOR2	RIPOR2
SPATA32	SPATA32
KIF27	KIF27
HINT3	HINT3
TNC	TNC
BUD31	BUD31
NRARP	NRARP
ARSA	ARSA
TEX261	TEX261
OR6C68	OR6C68
MILR1	MILR1
SRSF9	SRSF9
PTN	PTN
AL135905.2	AL135905.2
C2orf40	C2orf40
CRH	CRH
METAP1D	METAP1D
OR4P4	OR4P4
ZNF155	ZNF155
FAM219A	FAM219A
GSR	GSR
RBMXL2	RBMXL2
PDF	PDF
CASD1	CASD1
AL138847.1	AL138847.1
ADAT3	ADAT3
HIST1H2AH	HIST1H2AH
PRSS22	PRSS22
EFNA4	EFNA4
RAD9A	RAD9A
TENT5D	TENT5D
EPHA2	EPHA2
AC129492.3	AC129492.3
NUDT15	NUDT15
MBD4	MBD4
AHCYL1	AHCYL1
COPB2	COPB2
CADPS	CADPS
HK2	HK2
SUMO2	SUMO2
CXorf21	CXorf21
HIST1H2AL	HIST1H2AL
C1GALT1	C1GALT1
HADHA	HADHA
PTPRK	PTPRK
DPM2	DPM2
TRPA1	TRPA1
HES5	HES5
DCLRE1B	DCLRE1B
BHMT2	BHMT2
TAF1B	TAF1B
CLSPN	CLSPN
DHX9	DHX9
NEMF	NEMF
TNFRSF17	TNFRSF17
MYH9	MYH9
CFAP126	CFAP126
MED10	MED10
MED8	MED8
PRRX1	PRRX1
MSTN	MSTN
PIGA	PIGA
MAGEA10	MAGEA10
CEMIP	CEMIP
DEPDC7	DEPDC7
GOLGA6L4	GOLGA6L4
KSR2	KSR2
FEV	FEV
TBX2	TBX2
SRSF11	SRSF11
TMEM127	TMEM127
CASS4	CASS4
SIX3	SIX3
SKA2	SKA2
AC117834.1	AC117834.1
SPIN2B	SPIN2B
NRP1	NRP1
RPAIN	RPAIN
SEZ6L2	SEZ6L2
TXLNA	TXLNA
C1GALT1C1L	C1GALT1C1L
TAS2R8	TAS2R8
COG1	COG1
MTCL1	MTCL1
TMEM200A	TMEM200A
ZBTB1	ZBTB1
TFE3	TFE3
MASP2	MASP2
LRRC25	LRRC25
ZNF143	ZNF143
CKAP2	CKAP2
TMOD4	TMOD4
AC026464.3	AC026464.3
TMEM79	TMEM79
CERS3	CERS3
THAP8	THAP8
ITLN2	ITLN2
AP002512.3	AP002512.3
ST3GAL4	ST3GAL4
TSPAN16	TSPAN16
TERB1	TERB1
AP1S3	AP1S3
PIRT	PIRT
RUBCN	RUBCN
TMEM270	TMEM270
NDUFV2	NDUFV2
PLPPR2	PLPPR2
AC253536.7	AC253536.7
SEC31B	SEC31B
SPARC	SPARC
GRIK4	GRIK4
PITPNM2	PITPNM2
B3GLCT	B3GLCT
OR1L8	OR1L8
ZNF853	ZNF853
TMEM201	TMEM201
FAM78A	FAM78A
CGREF1	CGREF1
HSPA4	HSPA4
ANKH	ANKH
FKBP8	FKBP8
CCDC117	CCDC117
TMEM41B	TMEM41B
PTX4	PTX4
DCAF13	DCAF13
DDX5	DDX5
PPFIA1	PPFIA1
GBX1	GBX1
LIMK1	LIMK1
CFAP20	CFAP20
IDI2	IDI2
NAP1L3	NAP1L3
CXorf58	CXorf58
YPEL5	YPEL5
FOXN4	FOXN4
CGNL1	CGNL1
KLF8	KLF8
AC073569.1	AC073569.1
RAET1G	RAET1G
AUP1	AUP1
TCTN2	TCTN2
POLDIP3	POLDIP3
BOC	BOC
GBA	GBA
NPY1R	NPY1R
AL355102.2	AL355102.2
OR1F1	OR1F1
ATOX1	ATOX1
ARHGAP26	ARHGAP26
TBC1D30	TBC1D30
SCYGR2	SCYGR2
SUSD1	SUSD1
FUZ	FUZ
CDHR2	CDHR2
GOT1	GOT1
AC002996.1	AC002996.1
HOXD4	HOXD4
CD40	CD40
DEDD2	DEDD2
PRDM12	PRDM12
AFF2	AFF2
RRAD	RRAD
TXNL4B	TXNL4B
TMEM138	TMEM138
RASD1	RASD1
ZCCHC18	ZCCHC18
TIMM29	TIMM29
HDAC5	HDAC5
CHST12	CHST12
SOCS1	SOCS1
OR7D2	OR7D2
ZADH2	ZADH2
POLR2F	POLR2F
MCTS1	MCTS1
G2E3	G2E3
SERPINA12	SERPINA12
ARHGEF40	ARHGEF40
CCDC153	CCDC153
AL049557.1	AL049557.1
PLEKHO1	PLEKHO1
NPIPB8	NPIPB8
RTN4	RTN4
ZNF836	ZNF836
KRTAP13-3	KRTAP13-3
INF2	INF2
IFRD2	IFRD2
BMPR1B	BMPR1B
GDF6	GDF6
ZCCHC10	ZCCHC10
FP565260.2	FP565260.2
SLC25A53	SLC25A53
SPACA9	SPACA9
TIMM22	TIMM22
NUCB1	NUCB1
BTBD9	BTBD9
SULT1B1	SULT1B1
PFN3	PFN3
OR10H3	OR10H3
MTHFS	MTHFS
AL513478.1	AL513478.1
CNTFR	CNTFR
WFDC12	WFDC12
CASP4	CASP4
PIGH	PIGH
MTERF2	MTERF2
RAG2	RAG2
CSNK1E	CSNK1E
PITHD1	PITHD1
CCT3	CCT3
CRYGD	CRYGD
USP17L12	USP17L12
PLEKHA2	PLEKHA2
ADGRE5	ADGRE5
VSTM2A	VSTM2A
CHIT1	CHIT1
PAN3	PAN3
CD34	CD34
ERVK3-1	ERVK3-1
NTF3	NTF3
KIAA1328	KIAA1328
TNFRSF25	TNFRSF25
HIST2H2BE	HIST2H2BE
ADAMTS19	ADAMTS19
ACTL7A	ACTL7A
AHSG	AHSG
NOS2	NOS2
SNX14	SNX14
IQANK1	IQANK1
C1orf68	C1orf68
EVX1	EVX1
OR6F1	OR6F1
GPRIN1	GPRIN1
FDXACB1	FDXACB1
AC009879.2	AC009879.2
PSG1	PSG1
ZNF317	ZNF317
CTXN3	CTXN3
HPS4	HPS4
ZBBX	ZBBX
DEPDC5	DEPDC5
PHLDB2	PHLDB2
FOPNL	FOPNL
ZBTB32	ZBTB32
TEPP	TEPP
PHKA2	PHKA2
SLC25A17	SLC25A17
ZNF548	ZNF548
ADAMTS17	ADAMTS17
ARL4C	ARL4C
IRAK1	IRAK1
CCDC71	CCDC71
WDR18	WDR18
DNAJC5G	DNAJC5G
CYP3A7-CYP3A51P	CYP3A7-CYP3A51P
CCR9	CCR9
KRT37	KRT37
KRTAP19-8	KRTAP19-8
RIOX1	RIOX1
SLAMF6	SLAMF6
TGFBR2	TGFBR2
TMEM121B	TMEM121B
BOD1L2	BOD1L2
PARG	PARG
NIPSNAP3B	NIPSNAP3B
DGUOK	DGUOK
COL6A3	COL6A3
DERA	DERA
KNDC1	KNDC1
NBN	NBN
MBNL1	MBNL1
LARP4B	LARP4B
HNRNPA2B1	HNRNPA2B1
RANBP9	RANBP9
CNTF	CNTF
OR4A16	OR4A16
FNIP1	FNIP1
UBE2O	UBE2O
HELLS	HELLS
IKZF1	IKZF1
MUC5AC	MUC5AC
RGSL1	RGSL1
ANP32A	ANP32A
ODAM	ODAM
C5orf49	C5orf49
LSMEM2	LSMEM2
GPR75	GPR75
AC093525.2	AC093525.2
LRRC75A	LRRC75A
ADAMDEC1	ADAMDEC1
C16orf78	C16orf78
MRPL4	MRPL4
C6orf118	C6orf118
UGP2	UGP2
RPGRIP1L	RPGRIP1L
CHAC1	CHAC1
ATP5IF1	ATP5IF1
DLAT	DLAT
INCA1	INCA1
ELK3	ELK3
FBLIM1	FBLIM1
MYSM1	MYSM1
PGC	PGC
KCNU1	KCNU1
FBXL16	FBXL16
CPLANE1	CPLANE1
ATXN2	ATXN2
HS3ST1	HS3ST1
ARMC9	ARMC9
TUBB8	TUBB8
SCAMP5	SCAMP5
RBPJL	RBPJL
CARD11	CARD11
HSPA5	HSPA5
ANKRD30B	ANKRD30B
LRRC20	LRRC20
SOX13	SOX13
AC127496.1	AC127496.1
NMNAT1	NMNAT1
BABAM2	BABAM2
MAP1LC3B	MAP1LC3B
OR1M1	OR1M1
ZNF280B	ZNF280B
CNTN5	CNTN5
TTLL8	TTLL8
DSG1	DSG1
PROCA1	PROCA1
CCT6A	CCT6A
AC006538.2	AC006538.2
PACSIN1	PACSIN1
MAGEB2	MAGEB2
AC011005.1	AC011005.1
KIAA1586	KIAA1586
ANGPT1	ANGPT1
PER2	PER2
C10orf99	C10orf99
COX17	COX17
ASPHD1	ASPHD1
DDX19A	DDX19A
ZNF276	ZNF276
TEAD2	TEAD2
TMEM126A	TMEM126A
PCK2	PCK2
NFKB1	NFKB1
KDM4C	KDM4C
SIPA1	SIPA1
OR4L1	OR4L1
DNM1	DNM1
PHACTR1	PHACTR1
BRF2	BRF2
HTATIP2	HTATIP2
SLC25A29	SLC25A29
CDH11	CDH11
MADCAM1	MADCAM1
INSL4	INSL4
RASSF8	RASSF8
TARM1	TARM1
STK26	STK26
HACL1	HACL1
CRYM	CRYM
SPATA19	SPATA19
ULK3	ULK3
ZNF805	ZNF805
KRT14	KRT14
KPNA1	KPNA1
C15orf53	C15orf53
C1orf198	C1orf198
TBC1D3C	TBC1D3C
RIMBP2	RIMBP2
IL1RL2	IL1RL2
FGG	FGG
FAM167B	FAM167B
RTCB	RTCB
SEC14L2	SEC14L2
LTBP4	LTBP4
ATL1	ATL1
NUPR2	NUPR2
SLC7A5	SLC7A5
SUGP2	SUGP2
KLRG2	KLRG2
DEF6	DEF6
ZNF284	ZNF284
ESRRA	ESRRA
COL6A6	COL6A6
AL356356.1	AL356356.1
LAGE3	LAGE3
GRIPAP1	GRIPAP1
RASSF3	RASSF3
PPP4C	PPP4C
STAC	STAC
SSH3	SSH3
SLC9A6	SLC9A6
CCM2L	CCM2L
FNBP4	FNBP4
PRB3	PRB3
BMP5	BMP5
HIVEP1	HIVEP1
PROK1	PROK1
CSDE1	CSDE1
AL159163.1	AL159163.1
LCE3B	LCE3B
TOB2	TOB2
GLI4	GLI4
PDSS2	PDSS2
DSE	DSE
FAM47B	FAM47B
PYGL	PYGL
TYRP1	TYRP1
SRD5A1	SRD5A1
ZCCHC7	ZCCHC7
CCDC57	CCDC57
APOBEC4	APOBEC4
FAM122A	FAM122A
TMEM165	TMEM165
HYI	HYI
ATOH8	ATOH8
BAIAP3	BAIAP3
DNA2	DNA2
CDK5RAP2	CDK5RAP2
AC005841.1	AC005841.1
CREB3	CREB3
CHRAC1	CHRAC1
USP39	USP39
MZT1	MZT1
GJA5	GJA5
TRIM43	TRIM43
RNF24	RNF24
CCDC87	CCDC87
CENPV	CENPV
MPP5	MPP5
RPL9	RPL9
TUT4	TUT4
VWA7	VWA7
TMEM17	TMEM17
MPP1	MPP1
SEPT7	SEPT7
HCRT	HCRT
RAB8A	RAB8A
TBC1D3G	TBC1D3G
GLIPR1L2	GLIPR1L2
RPL19	RPL19
GSX1	GSX1
TGFBRAP1	TGFBRAP1
CCL23	CCL23
PRPS2	PRPS2
PANK2	PANK2
CCNL1	CCNL1
CHRNB3	CHRNB3
BMT2	BMT2
LRRC36	LRRC36
YY2	YY2
ANOS1	ANOS1
CEP57L1	CEP57L1
TSEN34	TSEN34
C9orf116	C9orf116
LDB3	LDB3
LARP7	LARP7
TMEM159	TMEM159
SMIM13	SMIM13
SECISBP2	SECISBP2
C1orf146	C1orf146
SCGB1C2	SCGB1C2
FN3K	FN3K
TMEM189	TMEM189
DGKQ	DGKQ
SMYD1	SMYD1
LRIF1	LRIF1
GSTA3	GSTA3
GUCY2D	GUCY2D
CEACAM8	CEACAM8
RAET1E	RAET1E
CST5	CST5
POMP	POMP
MPC2	MPC2
HTATSF1	HTATSF1
ZNF311	ZNF311
OR4F6	OR4F6
PRPH2	PRPH2
SNRK	SNRK
LRRC57	LRRC57
RALBP1	RALBP1
MAP3K19	MAP3K19
MCOLN3	MCOLN3
RRP1	RRP1
ZSCAN4	ZSCAN4
ENO4	ENO4
C20orf141	C20orf141
LDB1	LDB1
EPHB3	EPHB3
GAGE12E	GAGE12E
CNGB1	CNGB1
AK3	AK3
SERTAD2	SERTAD2
RUNX3	RUNX3
CLEC4F	CLEC4F
HADHB	HADHB
TAF11L9	TAF11L9
SRPK2	SRPK2
MRTO4	MRTO4
SGCA	SGCA
MTERF1	MTERF1
DCAF10	DCAF10
KLRG1	KLRG1
TAS2R13	TAS2R13
PPP1R10	PPP1R10
YPEL2	YPEL2
SNRPA1	SNRPA1
B3GALT4	B3GALT4
KRTAP13-1	KRTAP13-1
WNT8B	WNT8B
SYT4	SYT4
CT47A4	CT47A4
ARV1	ARV1
NEK7	NEK7
ELP5	ELP5
ZKSCAN7	ZKSCAN7
FGF13	FGF13
SNRNP200	SNRNP200
AXIN1	AXIN1
NVL	NVL
AADACL2	AADACL2
PTH1R	PTH1R
DNER	DNER
MUC19	MUC19
BIRC5	BIRC5
SESN1	SESN1
LCA5	LCA5
PLA2G2D	PLA2G2D
NTF4	NTF4
DCTD	DCTD
TBK1	TBK1
PLEK	PLEK
ACAD8	ACAD8
DPYSL2	DPYSL2
LIPH	LIPH
STX8	STX8
GSTK1	GSTK1
DPP6	DPP6
CCDC151	CCDC151
MARS2	MARS2
CELSR3	CELSR3
BBS1	BBS1
SIRPA	SIRPA
BPNT1	BPNT1
NTS	NTS
MRPS30	MRPS30
MRPS25	MRPS25
C16orf46	C16orf46
SLC5A1	SLC5A1
MDH1	MDH1
ZBTB9	ZBTB9
GALNT8	GALNT8
TRAPPC5	TRAPPC5
LIPJ	LIPJ
ATXN7L3B	ATXN7L3B
RAB11FIP2	RAB11FIP2
TTC28	TTC28
C14orf180	C14orf180
SCUBE2	SCUBE2
BLID	BLID
ATP5MGL	ATP5MGL
PNPO	PNPO
AGGF1	AGGF1
MPC1	MPC1
RAB3B	RAB3B
XIRP1	XIRP1
ZNF681	ZNF681
GART	GART
PRPF19	PRPF19
CPA4	CPA4
SNW1	SNW1
CT47A2	CT47A2
ABI3	ABI3
AHSA1	AHSA1
PPA2	PPA2
GNAL	GNAL
POLR3GL	POLR3GL
GON4L	GON4L
SYNDIG1L	SYNDIG1L
ZNF382	ZNF382
PBLD	PBLD
NIM1K	NIM1K
ANO8	ANO8
NEDD8	NEDD8
RAMAC	RAMAC
YWHAZ	YWHAZ
OR2AP1	OR2AP1
NPM3	NPM3
GNG7	GNG7
RCN3	RCN3
DNAJC6	DNAJC6
IFNA7	IFNA7
CACNG7	CACNG7
LRPAP1	LRPAP1
LYG2	LYG2
ZNF596	ZNF596
GNG11	GNG11
DDX24	DDX24
SULT1A2	SULT1A2
AKIP1	AKIP1
PLCXD1	PLCXD1
KCNJ14	KCNJ14
PNKP	PNKP
LRP5	LRP5
SLC2A6	SLC2A6
SPG7	SPG7
CALML6	CALML6
VPS33A	VPS33A
OR52E6	OR52E6
EGLN2	EGLN2
KERA	KERA
AL359091.2	AL359091.2
TRAFD1	TRAFD1
GATD3A	GATD3A
SCN5A	SCN5A
OPTC	OPTC
ZNF682	ZNF682
RGS22	RGS22
VCX3A	VCX3A
SENP6	SENP6
AMBN	AMBN
CTAGE8	CTAGE8
TMEM245	TMEM245
PRMT9	PRMT9
GOLPH3L	GOLPH3L
DARS	DARS
UBN1	UBN1
RP9	RP9
FAM209B	FAM209B
MARK2	MARK2
ZNF808	ZNF808
SAFB	SAFB
OR8K3	OR8K3
NOP53	NOP53
DPM1	DPM1
ST7	ST7
GTSE1	GTSE1
AGA	AGA
ZNF763	ZNF763
FAM78B	FAM78B
ATP13A5	ATP13A5
THYN1	THYN1
UMOD	UMOD
MRPL34	MRPL34
AL137002.1	AL137002.1
PCDH11X	PCDH11X
VTI1A	VTI1A
IL37	IL37
COQ9	COQ9
RNF126	RNF126
RAP1GDS1	RAP1GDS1
GHRH	GHRH
CHD6	CHD6
STRIP1	STRIP1
KHDC1L	KHDC1L
SERINC3	SERINC3
PRPF4	PRPF4
PIGP	PIGP
SBK2	SBK2
TTC16	TTC16
OR51B6	OR51B6
PRKRA	PRKRA
CPT1A	CPT1A
ZBTB45	ZBTB45
UPK2	UPK2
AMBP	AMBP
RNF43	RNF43
AC008878.3	AC008878.3
LONRF3	LONRF3
OR51D1	OR51D1
C2orf80	C2orf80
MPZL2	MPZL2
ICAM2	ICAM2
RORA	RORA
ZBTB25	ZBTB25
NDUFB10	NDUFB10
CORO2B	CORO2B
CLDN12	CLDN12
TPRA1	TPRA1
RBM15	RBM15
TUBA4A	TUBA4A
HSPA2	HSPA2
PPP1R26	PPP1R26
CCDC157	CCDC157
ITIH1	ITIH1
AL136454.1	AL136454.1
DCUN1D4	DCUN1D4
MDN1	MDN1
PTF1A	PTF1A
UBTFL1	UBTFL1
IFNA2	IFNA2
PCDHB6	PCDHB6
RNF113B	RNF113B
E2F6	E2F6
C16orf91	C16orf91
HCRTR1	HCRTR1
TTBK2	TTBK2
BRI3BP	BRI3BP
INTS7	INTS7
ARHGAP10	ARHGAP10
PSAT1	PSAT1
LNX1	LNX1
FBXO22	FBXO22
MRPS10	MRPS10
MPV17	MPV17
ZNF460	ZNF460
PXDC1	PXDC1
INKA2	INKA2
SMIM28	SMIM28
KIAA1324	KIAA1324
JAZF1	JAZF1
ITPR3	ITPR3
ZFP82	ZFP82
MGAT3	MGAT3
MCCD1	MCCD1
MAP3K7	MAP3K7
CT47A3	CT47A3
RNF44	RNF44
LITAF	LITAF
CYSLTR2	CYSLTR2
GVQW3	GVQW3
CYP2J2	CYP2J2
FAM167A	FAM167A
ABI1	ABI1
NID1	NID1
PHOX2B	PHOX2B
TLR9	TLR9
XPC	XPC
CLCA4	CLCA4
UBTD1	UBTD1
RASGRP3	RASGRP3
B3GNT7	B3GNT7
NLRP7	NLRP7
MTAP	MTAP
FGFR4	FGFR4
CENPS	CENPS
CCDC25	CCDC25
ADRB3	ADRB3
CAPZB	CAPZB
NUCKS1	NUCKS1
REN	REN
ETFRF1	ETFRF1
OPRM1	OPRM1
BIRC8	BIRC8
SIRT3	SIRT3
PHYHD1	PHYHD1
ARFGEF3	ARFGEF3
AC084121.11	AC084121.11
PDGFRB	PDGFRB
AC025165.3	AC025165.3
TNIK	TNIK
SERPINH1	SERPINH1
AC110615.1	AC110615.1
CIRBP	CIRBP
ZNF536	ZNF536
BLOC1S6	BLOC1S6
GKN2	GKN2
VPS4B	VPS4B
ZYG11B	ZYG11B
PNMA8A	PNMA8A
CEACAM21	CEACAM21
MLXIP	MLXIP
TUBD1	TUBD1
ARMCX4	ARMCX4
FAM131A	FAM131A
NUP35	NUP35
LAS1L	LAS1L
HOXC13	HOXC13
PRR3	PRR3
WDR77	WDR77
HAPLN3	HAPLN3
MXD3	MXD3
SLC37A1	SLC37A1
MGP	MGP
ZNF774	ZNF774
CNRIP1	CNRIP1
PRSS1	PRSS1
OR1N1	OR1N1
CRAMP1	CRAMP1
KRT6A	KRT6A
STK39	STK39
ZC3H7B	ZC3H7B
TMEM125	TMEM125
TMEM176A	TMEM176A
KIT	KIT
DEFB110	DEFB110
SEC11C	SEC11C
FGL1	FGL1
RP1	RP1
EEF2K	EEF2K
EVI2B	EVI2B
SLC22A14	SLC22A14
HSPA14	HSPA14
NCF2	NCF2
LHX2	LHX2
USP41	USP41
UBE2W	UBE2W
C13orf42	C13orf42
LGMN	LGMN
FGF19	FGF19
SVIP	SVIP
FNTB	FNTB
PPP1R3D	PPP1R3D
OR52E2	OR52E2
OR4Q3	OR4Q3
GJB2	GJB2
DNASE2B	DNASE2B
ZNF723	ZNF723
ZC3HAV1L	ZC3HAV1L
HSFY1	HSFY1
TAF5	TAF5
RUVBL2	RUVBL2
RAB2B	RAB2B
LHB	LHB
IKBKE	IKBKE
FBXO11	FBXO11
OR2D2	OR2D2
RYK	RYK
NECAP2	NECAP2
PPAT	PPAT
VPS36	VPS36
SESN3	SESN3
NPHP3-ACAD11	NPHP3-ACAD11
LYST	LYST
KLF6	KLF6
KRTAP19-2	KRTAP19-2
MTHFSD	MTHFSD
PLK2	PLK2
SIGLEC7	SIGLEC7
AP3B1	AP3B1
BBS7	BBS7
VKORC1L1	VKORC1L1
OR2M2	OR2M2
KXD1	KXD1
RAB11FIP1	RAB11FIP1
RAB41	RAB41
TMEM104	TMEM104
WIPF1	WIPF1
AIG1	AIG1
NBPF6	NBPF6
EMCN	EMCN
CFAP53	CFAP53
ZNF574	ZNF574
ASIP	ASIP
SSC4D	SSC4D
NR3C2	NR3C2
ANXA10	ANXA10
POPDC3	POPDC3
CD274	CD274
FOXI1	FOXI1
TRAF7	TRAF7
NDUFV1	NDUFV1
STX17	STX17
CD99L2	CD99L2
KLF10	KLF10
GOLGA8S	GOLGA8S
KIDINS220	KIDINS220
DNAJA4	DNAJA4
PNMA5	PNMA5
CALB2	CALB2
LMAN2L	LMAN2L
AJM1	AJM1
SNX27	SNX27
COL5A1	COL5A1
KIF14	KIF14
SLC5A11	SLC5A11
SOX4	SOX4
TMEFF2	TMEFF2
AL365214.3	AL365214.3
UFSP2	UFSP2
ZNF814	ZNF814
SPINK2	SPINK2
COL21A1	COL21A1
RNF144B	RNF144B
C1RL	C1RL
HSPB11	HSPB11
RHBG	RHBG
IFI27L2	IFI27L2
IFT46	IFT46
LLGL1	LLGL1
TMUB2	TMUB2
MNAT1	MNAT1
S100A9	S100A9
NR3C1	NR3C1
NEURL1B	NEURL1B
DLL1	DLL1
TIGAR	TIGAR
XKR8	XKR8
EPHA3	EPHA3
ERICH1	ERICH1
ROPN1L	ROPN1L
TUB	TUB
PBX3	PBX3
OTOA	OTOA
DUSP10	DUSP10
GIMAP8	GIMAP8
DPP4	DPP4
KPNB1	KPNB1
ARGFX	ARGFX
CCDC22	CCDC22
PLCD4	PLCD4
SLC50A1	SLC50A1
IFI27L1	IFI27L1
GGT6	GGT6
FUT1	FUT1
RWDD2A	RWDD2A
RIMKLB	RIMKLB
C2orf66	C2orf66
TBX20	TBX20
NUP54	NUP54
C6orf223	C6orf223
CCT5	CCT5
ETV3	ETV3
AC000120.2	AC000120.2
OTUD4	OTUD4
CEACAM7	CEACAM7
CEP89	CEP89
GPBAR1	GPBAR1
CSGALNACT2	CSGALNACT2
RUNX1T1	RUNX1T1
MUC15	MUC15
AGBL2	AGBL2
BOP1	BOP1
GDAP1	GDAP1
MLLT1	MLLT1
TNNT2	TNNT2
SPATA48	SPATA48
ZNF436	ZNF436
QSER1	QSER1
DIS3L2	DIS3L2
CTNND1	CTNND1
FCN1	FCN1
ANK2	ANK2
HNF1A	HNF1A
DIO3	DIO3
AKR1C2	AKR1C2
LSM12	LSM12
CENPP	CENPP
RPL30	RPL30
PERP	PERP
OR6C75	OR6C75
LPAR4	LPAR4
PLEKHH1	PLEKHH1
ZFYVE28	ZFYVE28
LAT2	LAT2
ARHGEF26	ARHGEF26
COG6	COG6
ZNF566	ZNF566
AKAP1	AKAP1
GINS4	GINS4
NKAIN3	NKAIN3
CCR2	CCR2
CNKSR2	CNKSR2
LCE2A	LCE2A
ZNHIT3	ZNHIT3
TOM1	TOM1
ARL16	ARL16
ABLIM3	ABLIM3
SMIM11A	SMIM11A
MOB1B	MOB1B
LAG3	LAG3
ECE1	ECE1
WDR87	WDR87
ITSN2	ITSN2
DDX59	DDX59
SMARCD1	SMARCD1
KIF25	KIF25
REPIN1	REPIN1
BAP1	BAP1
CEBPE	CEBPE
TSEN2	TSEN2
SPINK5	SPINK5
MYF6	MYF6
SLC43A2	SLC43A2
SLC52A2	SLC52A2
PMP22	PMP22
DAZ4	DAZ4
CDCA4	CDCA4
BMP6	BMP6
FADD	FADD
MYO9A	MYO9A
RRM2	RRM2
TENT4A	TENT4A
ZNF704	ZNF704
CCDC124	CCDC124
HSFY2	HSFY2
TSGA10IP	TSGA10IP
GOLGA8K	GOLGA8K
PRM1	PRM1
CCNDBP1	CCNDBP1
CACNB3	CACNB3
GRIP2	GRIP2
PIP4K2B	PIP4K2B
SLC4A7	SLC4A7
SKA1	SKA1
LRRC23	LRRC23
ZNF141	ZNF141
SPATA13	SPATA13
AC058822.1	AC058822.1
ANKRD20A1	ANKRD20A1
PATE2	PATE2
OR6C70	OR6C70
CROT	CROT
OR4K1	OR4K1
PLXNC1	PLXNC1
UBR2	UBR2
KCMF1	KCMF1
FGF17	FGF17
TOR1A	TOR1A
SUPT3H	SUPT3H
PCDHA3	PCDHA3
EVA1B	EVA1B
DPH1	DPH1
TPTE2	TPTE2
FXYD7	FXYD7
RGPD6	RGPD6
FBXO41	FBXO41
POLR2J3	POLR2J3
PPIAL4G	PPIAL4G
IP6K1	IP6K1
EPS8L3	EPS8L3
NUS1	NUS1
ZNF543	ZNF543
TMEM102	TMEM102
BORCS8	BORCS8
RPS15A	RPS15A
CFAP206	CFAP206
RASL10A	RASL10A
APCDD1L	APCDD1L
OPN5	OPN5
DUSP19	DUSP19
KRT19	KRT19
NFYA	NFYA
TTLL12	TTLL12
PRR15L	PRR15L
PCGF6	PCGF6
CD3D	CD3D
AC108488.2	AC108488.2
WASF2	WASF2
CA10	CA10
SEPT5	SEPT5
RPS10	RPS10
C17orf67	C17orf67
CMTM3	CMTM3
SEMA6D	SEMA6D
KRT33A	KRT33A
GADD45G	GADD45G
ELN	ELN
GDI2	GDI2
CYS1	CYS1
CD83	CD83
BIVM	BIVM
TARBP2	TARBP2
NRIP1	NRIP1
LRIT2	LRIT2
ZFP69	ZFP69
DAXX	DAXX
DUSP7	DUSP7
CCDC166	CCDC166
CNDP1	CNDP1
GALE	GALE
SCRG1	SCRG1
PLA2G4F	PLA2G4F
ITM2C	ITM2C
CCDC54	CCDC54
HUS1B	HUS1B
MICB	MICB
CSMD3	CSMD3
RPS8	RPS8
MX2	MX2
RDX	RDX
ITGB1BP2	ITGB1BP2
SLC38A6	SLC38A6
HIBADH	HIBADH
AKAP5	AKAP5
DNAJC18	DNAJC18
IFI27	IFI27
DKK1	DKK1
GDA	GDA
CX3CR1	CX3CR1
TADA2A	TADA2A
GTF2A1	GTF2A1
SAP30BP	SAP30BP
AC004997.1	AC004997.1
ADGRD2	ADGRD2
C1QTNF2	C1QTNF2
DLK2	DLK2
LRP3	LRP3
KRTAP20-3	KRTAP20-3
NEUROG1	NEUROG1
CCT6B	CCT6B
INPP5J	INPP5J
TMEM221	TMEM221
LGALS3	LGALS3
ADH7	ADH7
KCNJ3	KCNJ3
RDH14	RDH14
USP17L1	USP17L1
NANOS2	NANOS2
SPG21	SPG21
B4GALNT2	B4GALNT2
KCNN2	KCNN2
PPIF	PPIF
SLC35G6	SLC35G6
WDR97	WDR97
CT55	CT55
ALAS1	ALAS1
ITGAL	ITGAL
TEX264	TEX264
TMEM135	TMEM135
C1orf21	C1orf21
MED30	MED30
TRPS1	TRPS1
SSU72P3	SSU72P3
AL160175.1	AL160175.1
GABRG2	GABRG2
TLR7	TLR7
CCDC142	CCDC142
NALCN	NALCN
RSRC2	RSRC2
ZBTB6	ZBTB6
APOC4	APOC4
PROSER2	PROSER2
FXYD6-FXYD2	FXYD6-FXYD2
NHS	NHS
KRTAP9-8	KRTAP9-8
PIN4	PIN4
TCP10L	TCP10L
ZNF169	ZNF169
ETV7	ETV7
CNGA1	CNGA1
SRA1	SRA1
CCDC112	CCDC112
PPP1R16B	PPP1R16B
TEF	TEF
TNFRSF21	TNFRSF21
NDOR1	NDOR1
HEPN1	HEPN1
IBSP	IBSP
AP1S1	AP1S1
TAS2R46	TAS2R46
SMIM4	SMIM4
SMOX	SMOX
RNF122	RNF122
TAGAP	TAGAP
ZNF720	ZNF720
FUBP1	FUBP1
DOK4	DOK4
EXOSC1	EXOSC1
TTC13	TTC13
MUCL3	MUCL3
CCDC148	CCDC148
CBSL	CBSL
PXDNL	PXDNL
CAPZA1	CAPZA1
AL590714.1	AL590714.1
C2orf81	C2orf81
RAB28	RAB28
SYPL2	SYPL2
CD200R1L	CD200R1L
SNX19	SNX19
CREBZF	CREBZF
ARMC10	ARMC10
S100PBP	S100PBP
ASCL2	ASCL2
