	kidney_epithelial_cell	innate_lymphoid_cell	neutrophil	goblet_cell	smooth_muscle_cell	basal_cell	intestinal_enteroendocrine_cell__paneth_cell_of_epithelium_of_small_intestine__transit_amplifying_cell_of_small_intestine	cell_of_skeletal_muscle	keratinocyte	endothelial_cell	basophil	b_cell	intestinal_tuft_cell	stromal_cell	club_cell_of_prostate_epithelium__hillock_cell_of_prostate_epithelium__hillock_club_cell_of_prostate_epithelium	club_cell__type_i_pneumocyte	salivary_gland_cell	ionocyte__luminal_epithelial_cell_of_mammary_gland	cardiac_muscle_cell	immature_enterocyte__intestinal_crypt_stem_cell__intestinal_crypt_stem_cell_of_small_intestine__transit_amplifying_cell_of_large_intestine	monocyte	plasmablast	pulmonary_ionocyte	type_ii_pneumocyte	intrahepatic_cholangiocyte	mucus_secreting_cell__secretory_cell__tracheal_goblet_cell	fibroblast__mesenchymal_stem_cell	adventitial_cell	ciliated_cell__lung_ciliated_cell	mesothelial_cell	pancreatic_ductal_cell	plasma_cell	erythrocyte__erythroid_progenitor	mature_conventional_dendritic_cell	luminal_cell_of_prostate_epithelium	pancreatic_acinar_cell	myeloid_progenitor	mast_cell	platelet	macrophage	melanocyte	hematopoietic_stem_cell	t_cell	tendon_cell	pancreatic_stellate_cell	hepatocyte	duodenum_glandular_cell	basal_cell_of_prostate_epithelium	medullary_thymic_epithelial_cell	pericyte_cell	duct_epithelial_cell__serous_cell_of_epithelium_of_bronchus	pancreatic_alpha_cell__pancreatic_beta_cell	intestinal_enterocyte	ciliated_epithelial_cell__epithelial_cell_of_uterus	respiratory_goblet_cell__respiratory_mucous_cell__serous_cell_of_epithelium_of_trachea	acinar_cell_of_salivary_gland__myoepithelial_cell	schwann_cell	thymocyte	nk_cell	bladder_urothelial_cell
sample_1000_0_10	0.006800944916903973	0.14336588978767395	0.0005800147773697972	0.0008195923874154687	0.0007482452201656997	0.0007757277926430106	0.0012578672030940652	0.10785753279924393	0.0006377744139172137	0.0008055506623350084	0.0011503667337819934	0.002921614097431302	0.000920954451430589	0.0008919899119064212	0.05681151896715164	0.1083868145942688	0.0007875042501837015	0.0010141722159460187	0.0006436973344534636	0.001209830748848617	0.0012960503809154034	0.0018005140591412783	0.0016077515901997685	0.0018983178306370974	0.0014337607426568866	0.0006567822420038283	0.005721428897231817	0.14598044753074646	0.0010958199854940176	0.0018179735634475946	0.0007545414846390486	0.0007393128471449018	0.000809601740911603	0.0008791186846792698	0.06526678800582886	0.000927103974390775	0.16170762479305267	0.0018677458865568042	0.0022029862739145756	0.000630294787697494	0.0009528056252747774	0.001205920591019094	0.010237857699394226	0.0005805424298159778	0.0006851449725218117	0.0008912935736589134	0.0006171969580464065	0.0009107693913392723	0.000690875924192369	0.0009817477548494935	0.0015456648543477058	0.0009343090350739658	0.0016601948300376534	0.0010424511274322867	0.0008045921567827463	0.0015099991578608751	0.0007598215015605092	0.0013333031674847007	0.13404685258865356	0.001127085299231112
sample_1000_0_11	0.06036563217639923	0.002166506601497531	0.00155129365157336	0.02554364502429962	0.02696089819073677	0.001452349592000246	0.06025180593132973	0.00998753309249878	0.023185381665825844	0.0015900743892416358	0.0011880997335538268	0.001497946446761489	0.08539236336946487	0.001955576939508319	0.0012803147546947002	0.07572437822818756	0.0015997373266145587	0.0014805590035393834	0.0013299215352162719	0.025606302544474602	0.0019333605887368321	0.0009136904845945537	0.0023916938807815313	0.0017425543628633022	0.055019110441207886	0.002404893981292844	0.0004990590969100595	0.0008506664889864624	0.08394920080900192	0.00199749693274498	0.0013640121323987842	0.0011360557982698083	0.0019599138759076595	0.06496021151542664	0.0018171087140217423	0.001353741972707212	0.0019487534882500768	0.0016917554894462228	0.001723406370729208	0.0011657548602670431	0.0007537127239629626	0.0007152059697546065	0.001604887773282826	0.0009362941491417587	0.0015942348400130868	0.0017404368845745921	0.0010620546527206898	0.0012977728620171547	0.07702290266752243	0.07098802179098129	0.0016560518415644765	0.06974275410175323	0.0036445159930735826	0.001138306106440723	0.013313395902514458	0.0008640291634947062	0.0009482872555963695	0.0009094819542951882	0.10720951855182648	0.0019254181534051895
sample_1000_0_12	0.0016903014620766044	0.0026044670958071947	0.0013661130797117949	0.0019653216004371643	0.0006894795224070549	0.0012916490668430924	0.0020538601092994213	0.0008701129700057209	0.0014980882406234741	0.03977452963590622	0.0010919610504060984	0.0016841733595356345	0.0011469608871266246	0.001228253124281764	0.0015439565759152174	0.0537622794508934	0.0009522619657218456	0.057599250227212906	0.0009769732132554054	0.0029248197097331285	0.004577424842864275	0.008979580365121365	0.0021050635259598494	0.002704029669985175	0.001884387107565999	0.0026285555213689804	0.0006382982828654349	0.0006931315874680877	0.0013232219498604536	0.0008081949781626463	0.001426722388714552	0.07165701687335968	0.07402974367141724	0.07759510725736618	0.0010431342525407672	0.0010679580736905336	0.000934950599912554	0.0023034473415464163	0.02940201573073864	0.0012772742193192244	0.001119911903515458	0.0010192927438765764	0.0015734724001958966	0.0017101604025810957	0.0005504799773916602	0.0007426638621836901	0.08617129921913147	0.0016407808288931847	0.001572229783050716	0.0012813815847039223	0.008501443080604076	0.0018717765342444181	0.05891551077365875	0.008290288969874382	0.046673115342855453	0.07313505560159683	0.04604026675224304	0.07484956085681915	0.06593780219554901	0.054609451442956924
sample_1000_0_13	0.07876331359148026	0.05386261269450188	0.0011769254924729466	0.001428459188900888	0.024118289351463318	0.0006428863271139562	0.0824148952960968	0.0015119959134608507	0.000650528643745929	0.0014344657538458705	0.07528931647539139	0.0015383877325803041	0.0017509483732283115	0.06483820825815201	0.0017052142648026347	0.0009900169679895043	0.0025686786975711584	0.0015855364035815	0.0012474341783672571	0.002641954692080617	0.08252666890621185	0.0017758042085915804	0.0016570822335779667	0.002187318168580532	0.0015147578669711947	0.001685056951828301	0.06805872917175293	0.03015817515552044	0.0008951344061642885	0.0015566939255222678	0.001121952198445797	0.0007640705443918705	0.0017611010698601604	0.0008591782534494996	0.03345205634832382	0.0012991707772016525	0.04410490393638611	0.0030052843503654003	0.0015587782254442573	0.0013184573035687208	0.07478589564561844	0.0018399758264422417	0.0055913315154612064	0.001971624558791518	0.0038500712253153324	0.0012432025978341699	0.0007582807447761297	0.05404513701796532	0.0010042216163128614	0.07008683681488037	0.007387168239802122	0.0017590993084013462	0.0014177097473293543	0.001734298886731267	0.0009679836803115904	0.08258634805679321	0.003940851427614689	0.0008122528088279068	0.0010183994891121984	0.0017788788536563516
sample_1000_0_14	0.06668803095817566	0.0031929905526340008	0.001387826050631702	0.0019090521382167935	0.001640472561120987	0.08733183890581131	0.0012064416659995914	0.04065152257680893	0.002440876327455044	0.0011853300966322422	0.04859042167663574	0.027737924829125404	0.0018029148923233151	0.0517636239528656	0.0016412338009104133	0.0039432235062122345	0.0016085220267996192	0.001264005433768034	0.0005823958781547844	0.07880006730556488	0.051233164966106415	0.051482681185007095	0.002312231343239546	0.07351178675889969	0.0384097695350647	0.00464724050834775	0.006056493613868952	0.09020238369703293	0.0010534231550991535	0.0009402203722856939	0.001833794522099197	0.002346840687096119	0.0013105638790875673	0.0012389185139909387	0.0037581913638859987	0.000910874514374882	0.08036155253648758	0.0025717527605593204	0.001236639218404889	0.0011946939630433917	0.061521727591753006	0.0011715060099959373	0.0013349080691114068	0.0010833420092239976	0.0015840335981920362	0.000975391420070082	0.0009739919332787395	0.0012451489455997944	0.0009718888904899359	0.0009909052168950438	0.005196358077228069	0.0016957384068518877	0.0014052087208256125	0.0009002804872579873	0.03880962356925011	0.0009340706747025251	0.0022522052749991417	0.031942397356033325	0.0008606810006313026	0.002168684033676982
sample_1000_0_15	0.001571299391798675	0.00045923684956505895	0.0001543126709293574	0.0006008349009789526	0.0009942336473613977	0.0009610281558707356	0.00031481581390835345	0.00031308288453146815	0.0004652412317227572	0.00042738195043057203	0.0002798011992126703	0.0005022138939239085	0.00038667803164571524	0.00028821182786487043	0.0005097021348774433	0.00017517646483611315	0.00040464845369569957	0.0012732264585793018	0.0004128097207285464	0.0002553360245656222	0.0009221449727192521	0.00024230460985563695	0.0006786540034227073	0.0003537391312420368	0.0005536496173590422	0.0002327553229406476	0.00045136723201721907	0.0003227042325306684	0.000601033738348633	0.0030921397265046835	0.000317930884193629	0.000867988565005362	0.0004258537956047803	0.0004155436181463301	0.000438833114458248	0.0005552615621127188	0.00024347586440853775	0.0007196851656772196	0.0002023075649049133	0.00024715502513572574	0.00033728781272657216	0.0005303296493366361	0.0003816409735009074	0.0006188998813740909	0.0005317492177709937	0.0004469253763090819	0.0005292179412208498	0.2530125379562378	0.7161275148391724	0.00014556749374605715	0.00037386268377304077	0.0004462780198082328	0.0002846037968993187	0.0007351560052484274	0.0003912573156412691	0.000784846895840019	0.00026465236442163587	0.0005457164952531457	0.0002618875587359071	0.0006163177313283086
sample_1000_0_16	0.0019659127574414015	0.006965662352740765	0.03481185808777809	0.0019304549787193537	0.0014042865950614214	0.001330780447460711	0.0021062050946056843	0.0012210361892357469	0.02855883166193962	0.002125407103449106	0.0012258834904059768	0.0008919282699935138	0.0008920163963921368	0.002107543172314763	0.0013263262808322906	0.001572737586684525	0.0033326875418424606	0.06888489425182343	0.0014549329644069076	0.0021981827449053526	0.002571569988504052	0.006295199505984783	0.0020062699913978577	0.0016734879463911057	0.04308762773871422	0.004492660518735647	0.0908685177564621	0.00275855022482574	0.0010290718637406826	0.0014141348656266928	0.0012857739347964525	0.07336767762899399	0.05582420900464058	0.001906029530800879	0.0042439657263457775	0.0010240402771160007	0.0012849856866523623	0.0014317898312583566	0.001010278007015586	0.05462897568941116	0.06450612097978592	0.0007510918658226728	0.08131324499845505	0.03551124408841133	0.0027174248825758696	0.0019059490878134966	0.0015366333536803722	0.0870540589094162	0.0017561602871865034	0.0006797548267059028	0.09535589069128036	0.0013435580767691135	0.0011031831381842494	0.0018594739958643913	0.008080067113041878	0.06753174215555191	0.002022253582254052	0.020294195041060448	0.004654316697269678	0.0015112527180463076
sample_1000_0_17	0.022244958207011223	0.0017766553210094571	0.001194137497805059	0.0020477415528148413	0.0009239079663529992	0.0010419436730444431	0.001365744392387569	0.0008132844232022762	0.0011340552009642124	0.0015080132288858294	0.09151770174503326	0.0015123698394745588	0.0015062597813084722	0.0012539996532723308	0.06643539667129517	0.0009729986195452511	0.03008183091878891	0.103348009288311	0.0008175225229933858	0.003319974523037672	0.1103615015745163	0.0018398495158180594	0.002294749952852726	0.0013099483912810683	0.002860099310055375	0.0017584594897925854	0.0010132044553756714	0.0006920972373336554	0.0009174304432235658	0.0006398017867468297	0.05565603822469711	0.0008669815142638981	0.05673167482018471	0.07997602969408035	0.11043179780244827	0.001678130473010242	0.017585089430212975	0.003416009247303009	0.0016941004432737827	0.0019399363081902266	0.0012109278468415141	0.0011567621259018779	0.001009437721222639	0.0011644646292552352	0.03056906722486019	0.00110693892929703	0.0012757086660712957	0.0018836383242160082	0.0007192630437202752	0.001607299200259149	0.15220963954925537	0.0018724327674135566	0.0014634067192673683	0.0015333585906773806	0.0014692548429593444	0.004894431214779615	0.0027894009836018085	0.000906566041521728	0.0009406437166035175	0.0017379246419295669
sample_1000_0_18	0.0005545401945710182	0.0008759523625485599	0.0008123276056721807	0.001332397572696209	0.0003673925530165434	0.0005512092029675841	0.0007052339497022331	0.0003800147387664765	0.00038064876571297646	0.0005932373460382223	0.0003218130732420832	0.0007403320050798357	0.00032416978501714766	0.0008804922690615058	0.001011015847325325	0.0006848424673080444	0.001712305354885757	0.00041960790986195207	0.00036794287734664977	0.0005862756515853107	0.0007653869688510895	0.0012769533786922693	0.0005047386512160301	0.0003357937384862453	0.0007220004335977137	0.0005070754559710622	0.0004894344019703567	0.00046121206833049655	0.00045637358562089503	0.0004358683945611119	0.00040948507376015186	0.0005637835129164159	0.28255265951156616	0.0006681106751784682	0.0004080852959305048	0.00047907838597893715	0.0006090850802138448	0.0009118719026446342	0.0010498344199731946	0.00040425112820230424	0.0004482543154153973	0.0004404833889566362	0.0007836395525373518	0.0569901205599308	0.0002456558868288994	0.0006188434781506658	0.0016466091619804502	0.00045574078103527427	0.00022615496709477156	0.000442439632024616	0.31908878684043884	0.00045884912833571434	0.000902787665836513	0.00046612072037532926	0.00127362459897995	0.0031769941560924053	0.0005361466901376843	0.0009143401402980089	0.3019684851169586	0.0013030553236603737
sample_1000_0_19	0.0012542495969682932	0.10401983559131622	0.0006362757412716746	0.0019242138369008899	0.0009301353711634874	0.0007908089319244027	0.09343645721673965	0.03819085285067558	0.0007794764824211597	0.1533583253622055	0.0012844023294746876	0.10583429783582687	0.0009683059179224074	0.0012628259137272835	0.0010321845766156912	0.07878854870796204	0.053894899785518646	0.00262468378059566	0.0006834478699602187	0.0013340719742700458	0.001206270419061184	0.0012115546269342303	0.0013422478223219514	0.0014273091219365597	0.002410345710813999	0.0013751984806731343	0.0010293688392266631	0.0008357742335647345	0.09632840007543564	0.0013848731759935617	0.0015671185683459044	0.0007887368556112051	0.0013375816633924842	0.0019340694416314363	0.0015138989547267556	0.0009936438873410225	0.0012727141147479415	0.0013539968058466911	0.0012899410212412477	0.0029793840367347	0.0013316575204953551	0.0009992923587560654	0.00774485245347023	0.0007356552523560822	0.13271847367286682	0.0008248417288996279	0.0005763309309259057	0.0014976512175053358	0.0013559064827859402	0.00193781650159508	0.0019095391035079956	0.0011745758820325136	0.002738570561632514	0.0038043141830712557	0.06971714645624161	0.0006988418172113597	0.0012086136266589165	0.001055965549312532	0.0005821901140734553	0.0007770182564854622
