	variance
LGALS3	5.086901
HLA-DPA1	4.95151
CXCL2	4.8948593
LIMS1	4.862105
C1R	4.8198857
GP9	4.7486024
SFTPC	4.706931
PPIA	4.678669
PRDX5	4.675479
NDUFA4	4.603218
LMNA	4.5451717
GPX4	4.5291414
DYNLL1	4.526063
CFL1	4.519278
VCAN	4.5009284
HSPB1	4.4996243
RAP1B	4.4789023
BASP1	4.426585
ARHGDIB	4.4072037
COL6A3	4.392214
IER3	4.387244
RPL17	4.3725142
UBA52	4.342479
GNAS	4.331533
PSAP	4.3283157
CD69	4.264115
IGFBP1	4.25747
HIST1H2AC	4.2507534
MIF	4.249934
PEBP1	4.234454
FOSB	4.22618
FABP5	4.2233286
PRB4	4.188885
CTSD	4.147726
RGS10	4.1016135
ELF3	4.087997
HBD	4.0593305
TSC22D1	4.0279117
FLNA	4.0225787
TM4SF1	4.011038
CYP2E1	4.0070205
ANXA1	4.0031343
PDZK1IP1	3.9395444
CTSB	3.89763
SERPINF1	3.8944218
CCL3	3.8832176
TNFAIP3	3.784262
ITM2A	3.7684813
CCL5	3.7656765
BIRC3	3.7379029
LCP1	3.6977909
HINT1	3.6568904
LDHA	3.6113112
RNASE1	3.6030045
C1S	3.4716818
AIF1	3.4418588
DEFA3	3.4389966
MARCKSL1	3.4193478
GADD45A	3.4036188
LRMP	3.397472
ANXA5	3.3728507
CD59	3.3724623
MT1A	3.3612297
SERPING1	3.354621
LITAF	3.3214335
ITGA2B	3.320234
TSPO	3.3149185
FPR1	3.3012068
BCL2A1	3.3010185
RGS5	3.2854311
HLA-DPB1	3.2552238
COTL1	3.2504718
PRDX1	3.1961763
PCK1	3.1941848
SUB1	3.1750565
HSP90B1	3.1689184
MMP2	3.1666996
SLC25A6	3.1578348
S100P	3.1501484
SERPINE1	3.1440887
H2AFZ	3.060895
PPIB	3.0539575
ORM2	3.0527222
ALAS2	3.0236688
YBX3	3.0229788
MUC7	3.0126128
YBX1	3.0087385
SRP14	2.9898348
CD52	2.9894068
ALOX5AP	2.9673018
IER2	2.9624453
C11orf54	2.9486854
GADD45B	2.9205592
COL1A2	2.9151978
PLEK	2.9063587
NDFIP1	2.8979847
TUBA4A	2.862889
IL1B	2.8616955
EGR1	2.856863
CTSL	2.8317246
PRDX2	2.8258004
CD3E	2.8190603
LAPTM5	2.816746
DDX5	2.8011816
NNMT	2.7777417
DUSP2	2.7319815
CCDC80	2.7076972
TRPM5	2.663428
SMAP2	2.654008
FCGR3B	2.6395817
SPARC	2.6322856
CD44	2.5484529
PMP22	2.5450454
F13A1	2.5288374
COX7B	2.5287952
CHGA	2.5187018
HMGN2	2.4910545
IL6	2.4819052
BTF3	2.4705305
ARPC1B	2.4554675
DBI	2.4458845
CD3D	2.4422972
MLN	2.4281366
PFDN5	2.4107916
IGFBP2	2.3886213
PPP1R14A	2.38476
CST7	2.3738735
CD83	2.3703437
C20orf85	2.3669655
ENO1	2.3637044
PPDPF	2.3629086
VCL	2.3543284
BGN	2.3472965
CD163	2.3440034
TPI1	2.3065805
PABPC1	2.3047245
IFI27	2.3008435
TSPAN1	2.290703
CKB	2.2878716
CMTM5	2.2823663
CD9	2.262158
ITPR2	2.2523794
PKM	2.2122586
EEF2	2.2116745
ACRBP	2.1999836
MGST1	2.1942177
CD81	2.172
FGL1	2.1423144
UQCRH	2.1326046
APOH	2.1323588
TPM3	2.126618
MT1F	2.0906377
TREML1	2.0875142
ZFP36L1	2.0836656
MFGE8	2.082706
GIP	2.079044
CD55	2.0498567
EEF1D	2.0066018
C9orf24	2.004403
CORO1A	1.9985217
RUFY1	1.9970537
CSTB	1.9781636
SCGB3A2	1.9780936
HNRNPA2B1	1.9716465
